condition,model,scene_label,truth,run,local_ms,local_risk,yolo_ms,clip_label,clip_conf,clip_risk,clip_correct,yolo_meta,risk_correct,detected_risk,quality_score,reply,latency_ms,input_tokens,output_tokens,cost_usd,error
with_clip,gpt4o_mini,person_near,hazard,2,39.05,hazard,277.5,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",1,hazard,5,"Description: The image shows a person standing in a cluttered indoor environment, with various objects visible in the background. The person appears to be relatively close to the drone's flight path.

Sensor note: The local detector identified a person with a confidence of 0.455, which aligns with my visual analysis. However, the YOLO detection of a wall has a low confidence of 0.28, indicating potential uncertainty in the environment.

Proximity: The closest object/person is the individual detected, estimated to be about 0.24m away.

Risk: hazard

Pilot suggested action: HOVER",9522.8,3611,122,0.000615,
with_clip,gemini,person_near,hazard,2,39.05,hazard,277.5,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",1,hazard,5,"Description: A person is standing directly in front of the drone, occupying a significant portion of the frame. The background appears to be a cluttered room.
Sensor note: The local detector correctly identified a person, and the estimated distance is consistent with the visual proximity. YOLO-World detected a 'wall' which is likely the background behind the person, but missed the person themselves.
Proximity: Person is visually very close, estimated to be less than 1 meter. The local detector's est_dist=0.24m supports this.
Risk: hazard
Pilot suggested action: HOVER",1846.9,1080,123,0.000118,
no_clip,claude,person_near,hazard,2,39.05,hazard,179.6,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",1,hazard,5,"Description: A person is standing directly in front of the drone with both arms raised, appearing to be at close range in what looks like an indoor workshop or storage area with shelving and equipment visible in the background.
Sensor note: The local detector estimates person at 0.24m which seems aggressive, but the person is clearly visible and close — likely within 1–2m based on their apparent size filling much of the frame. The wall detection at 0.45m is consistent with the cluttered background. Person proximity is the primary concern.
Proximity: Person visually estimated at approximately 1–2m directly ahead, consistent with a close-range detection; the 0.24m est_dist is a bounding-box heuristic and likely an overestimate of closeness, but the person is undeniably within the hazard threshold.
Risk: hazard
Pilot suggested action: HOVER",6860.8,974,197,0.005877,
no_clip,gpt4o,person_near,hazard,2,39.05,hazard,179.6,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",1,hazard,5,"Description: The image shows a person standing in the center of a room, appearing to be quite close to the camera. The environment seems cluttered with various objects and furniture.
Sensor note: Consistent with local detector's person detection; YOLO's wall detection is less relevant.
Proximity: Person is approximately 0.24m away, consistent with sensor data.
Risk: Hazard
Pilot suggested action: HOVER",3479.2,789,85,0.00522,
no_clip,gpt4o_mini,person_near,hazard,2,39.05,hazard,179.6,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",1,hazard,5,"Description: The image shows a person standing in a room with various objects in the background, including furniture. The person appears to be relatively close to the drone's flight path. 

Sensor note: The local detector identified a person with a confidence of 0.455 at an estimated distance of 0.24m, which aligns with my visual assessment of the person being close. 

Proximity: The closest object/person is the individual detected, approximately 0.24m away. 

Risk: hazard  
Pilot suggested action: HOVER",8499.2,3556,109,0.000599,
no_clip,gemini,person_near,hazard,2,39.05,hazard,179.6,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",1,hazard,5,"Description: A person is standing directly in front of the drone, occupying the majority of the frame. The background appears to be an indoor room with some furniture and shelves.
Sensor note: The local detector correctly identified a person, but its estimated distance of 0.24m is too close given the visual evidence. YOLO-World detected a ""wall"" at 0.45m, which is inconsistent with the prominent person in the foreground.
Proximity: The person is visually very close, estimated to be well within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",3792.1,1026,123,0.000114,
with_clip,claude,person_near,hazard,3,30.67,hazard,266.4,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",1,hazard,4,"Description: A person is standing in the foreground of a cluttered indoor room with shelving and various objects in the background; they appear to be at relatively close range to the camera, roughly 1.5–2.5m away, with arms raised.
Sensor note: The local detector estimates person at 0.24m which appears to be a significant overestimate of closeness — visually the person looks further than 0.24m, more like 1.5–2m; however they are still within a concerning proximity range. YOLO missed the person entirely, which is a notable gap.
Proximity: Person visually estimated ~1.5–2m; closest detected obstacle (wall) at 0.45m per DepthAnything v2 — plausible given room clutter.
Risk: hazard
Pilot suggested action: HOVER

**Reasoning:** The person is visually within or near the <2m hazard threshold for a ~1m altitude indoor flight path, and the wall/obstacle is detected at only 0.45m. The combination of a human in close proximity, cluttered environment, and tight spatial margins warrants an immediate halt to forward movement. HOVER to reassess before any further navigation.",8355.5,1035,273,0.0072,
with_clip,gpt4o,person_near,hazard,3,30.67,hazard,266.4,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",1,hazard,5,"Description: The image shows a person standing in a cluttered room, with various objects and furniture around.
Sensor note: Consistent with sensor data indicating a person and cluttered room.
Proximity: The person is very close, approximately 0.24 meters away.
Risk: Hazard
Pilot suggested action: HOVER",3169.9,844,65,0.005195,
with_clip,gpt4o_mini,person_near,hazard,3,30.67,hazard,266.4,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",1,hazard,5,"Description: The image shows a person standing in a cluttered indoor environment, with various objects visible in the background. The person appears to be relatively close to the drone's flight path.

Sensor note: The local detector identified a person with a confidence of 0.455, which aligns with my visual analysis. However, the YOLO detection of a wall has a low confidence of 0.28, indicating potential uncertainty in the environment.

Proximity: The person is approximately 0.24m away, which is very close to the drone's flight path.

Risk: hazard

Pilot suggested action: HOVER",10000.9,3611,124,0.000616,
with_clip,gemini,person_near,hazard,3,30.67,hazard,266.4,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",1,hazard,5,"Description: A person is standing directly in front of the drone, occupying a significant portion of the frame. The background appears to be a cluttered room.
Sensor note: The local detector correctly identified a person, and the estimated distance is consistent with the visual proximity. YOLO-World detected a wall, which is likely the background behind the person.
Proximity: Person approximately 0.2-0.3m away.
Risk: hazard
Pilot suggested action: HOVER",1879.4,1080,97,0.00011,
no_clip,claude,person_near,hazard,3,30.67,hazard,156.5,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",0,caution,3,"Description: A person is standing upright in what appears to be an indoor workspace/storage room, facing the camera with arms raised, at what appears to be a moderate distance of roughly 2–3 metres from the camera.
Sensor note: The local detector reports est_dist=0.24m which is a geometric bounding-box heuristic and significantly underestimates the actual visual distance — the person appears considerably further than 0.24m. The wall depth of 0.45m (YOLO-World, lower recall) may be a false or misattributed detection given the visible open space.
Proximity: Visually the person appears approximately 2–3m away; the est_dist=0.24m from the local detector (bounding-box heuristic) is inconsistent with the image and is overridden by visual analysis.
Risk: caution
Pilot suggested action: HOVER

**Reasoning:** The person is not critically close based on visual assessment, but they are within the scene and their exact distance warrants caution. The raised arms could indicate they are signalling. The room has clutter and shelving in the background. Hovering is the prudent action pending clearer situational assessment before proceeding.",8396.9,974,275,0.007047,
no_clip,gpt4o,person_near,hazard,3,30.67,hazard,156.5,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",1,hazard,5,"Description: The image shows a person standing in a room with various objects and furniture around. The person appears to be quite close to the camera.
Sensor note: Consistent with local detector's person detection and estimated distance.
Proximity: Approximately 0.24 meters to the person.
Risk: Hazard
Pilot suggested action: HOVER",3520.1,789,68,0.004965,
no_clip,gpt4o_mini,person_near,hazard,3,30.67,hazard,156.5,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",1,hazard,5,"Description: The image shows a person standing in a room with various objects in the background, including furniture. The person appears to be relatively close to the drone's flight path. 

Sensor note: The local detector identified a person with a confidence of 0.455 at an estimated distance of 0.24m, which is consistent with my visual analysis.

Proximity: The closest object/person is the individual detected, approximately 0.24m away.

Risk: hazard

Pilot suggested action: HOVER",8095.7,3556,103,0.000595,
no_clip,gemini,person_near,hazard,3,30.67,hazard,156.5,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",1,hazard,5,"Description: A person is standing directly in front of the drone, occupying the majority of the frame. The background appears to be an indoor room with some furniture and shelves.
Sensor note: The local detector correctly identified a person, but its estimated distance of 0.24m is too close given the visual evidence. YOLO-World detected a ""wall"" at 0.45m, which is inconsistent with the primary object being a person.
Proximity: The person is visually very close, estimated to be less than 1 meter away.
Risk: hazard
Pilot suggested action: HOVER",1905.5,1026,124,0.000114,
with_clip,claude,person_near,hazard,4,29.86,hazard,271.7,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",1,hazard,4,"Description: A person is standing upright in what appears to be a cluttered indoor workspace/storeroom, with both arms raised, positioned centrally in the frame and appearing to be relatively close to the camera/drone. The background shows shelving units, a door, and various equipment.

Sensor note: The local detector estimates person at 0.24m which seems too close given the image — visually the person appears roughly 1.5–2.5m away based on their apparent size relative to the room. The MediaPipe est_dist of 0.24m is a bounding-box geometric fallback (low trust) and likely an overestimate of proximity. YOLO-World detected a wall at 0.45m but no person was flagged by YOLO-W/COCO, which is a notable miss — the person is clearly visible in the image.

Proximity: Visually, the person appears to be approximately 1.5–2m away, occupying a large portion of the frame. This is within the hazard threshold zone, and their raised arms further increase the effective obstacle footprint at ~1m flight altitude.

Risk: hazard

Pilot suggested action: HOVER",8237.0,1035,266,0.007095,
with_clip,gpt4o,person_near,hazard,4,29.86,hazard,271.7,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",1,hazard,5,"Description: The image shows a person standing in a cluttered room, appearing to be quite close to the camera.
Sensor note: Consistent with local detector's person detection and proximity estimate.
Proximity: The person is approximately 0.24 meters away.
Risk: Hazard
Pilot suggested action: HOVER",3273.7,844,63,0.005165,
with_clip,gpt4o_mini,person_near,hazard,4,29.86,hazard,271.7,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",1,hazard,5,"Description: The image shows a person standing in a cluttered indoor environment, with various objects visible in the background. The person appears to be relatively close to the camera, likely within 1 meter.

Sensor note: The local detector identified a person with a confidence of 0.455 and an estimated distance of 0.24m, which is consistent with my visual analysis.

Proximity: The closest object/person is the individual detected, approximately 0.24m away.

Risk: hazard

Pilot suggested action: HOVER",9011.1,3611,107,0.000606,
with_clip,gemini,person_near,hazard,4,29.86,hazard,271.7,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",1,hazard,5,"Description: A person is standing directly in front of the drone, occupying a significant portion of the frame. The background appears to be a cluttered room.
Sensor note: The local detector correctly identified a person, and the estimated distance is consistent with the visual proximity. YOLO-World detected a 'wall' which is likely the background behind the person, but missed the person themselves.
Proximity: Person is visually very close, estimated to be less than 1 meter. The local detector's est_dist=0.24m supports this.
Risk: hazard
Pilot suggested action: HOVER",1775.7,1080,123,0.000118,
no_clip,claude,person_near,hazard,4,29.86,hazard,158.3,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",1,hazard,4,"Description: A person is standing in what appears to be an indoor workspace/workshop, with both arms raised, positioned relatively close to the camera/drone at an estimated 1.5–2.5m distance.
Sensor note: The local detector estimates 0.24m which appears significantly underestimated — visually the person appears further than 0.24m, though they are clearly within concerning proximity range. The wall detection at 0.45m is consistent with background clutter visible behind the person.
Proximity: Person is visually estimated at approximately 1.5–2m, which is within the hazard threshold (<1m is hard stop, but <2m with a person directly in frame warrants immediate caution/hazard classification). The 0.24m est_dist is a geometric heuristic fallback and likely unreliable, but the person is undeniably close.
Risk: hazard
Pilot suggested action: HOVER

**Reasoning:** A person is directly in the drone's forward flight path at close range. Regardless of exact distance uncertainty, the person occupies the central frame and flight corridor at ~1m altitude. Immediate hover to avoid any forward movement toward the individual is the safest response. Do not pitch forward. Await clearance or manual pilot override.",8877.8,974,283,0.007167,
no_clip,gpt4o,person_near,hazard,4,29.86,hazard,158.3,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",1,hazard,5,"Description: The image shows a person standing indoors, appearing to be quite close to the camera. The environment seems cluttered with various objects and furniture.
Sensor note: Consistent with sensor data indicating a person detected at approximately 0.24m.
Proximity: The person is visually estimated to be less than 1 meter away.
Risk: Hazard
Pilot suggested action: HOVER",3477.1,789,78,0.005115,
no_clip,gpt4o_mini,person_near,hazard,4,29.86,hazard,158.3,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",1,hazard,5,"Description: The image shows a person standing in a room with various objects in the background, including furniture. The person appears to be relatively close to the drone's flight path. 

Sensor note: The local detector identified a person with a confidence of 0.455 at an estimated distance of 0.24m, which is consistent with my visual analysis.

Proximity: The closest object/person is the individual detected, approximately 0.24m away.

Risk: hazard

Pilot suggested action: HOVER",10542.4,3556,103,0.000595,
no_clip,gemini,person_near,hazard,4,29.86,hazard,158.3,cluttered room obstacles,0.2065,caution,0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])
  Local detector (Tier 1.5 — MediaPipe EfficientDet-Lite0, advisory — image overrides): person detected (conf=0.455, est_dist=0.24m); brightness=123/255 (none)",1,hazard,5,"Description: A person is standing directly in front of the drone, occupying the majority of the frame. The background appears to be an indoor room with some furniture and shelves.
Sensor note: The local detector correctly identified a person, but its estimated distance of 0.24m is too close given the visual evidence. YOLO-World detected a ""wall"" at 0.45m, which is inconsistent with the primary object being a person.
Proximity: The person is visually very close, estimated to be less than 1 meter away.
Risk: hazard
Pilot suggested action: HOVER",3182.3,1026,124,0.000114,
