strategy,model,seq,frame_num,scene_label,expected_risk,call_source,in_hazard,yolo_meta,clip_label,clip_risk,clip_conf,detected_risk,risk_correct,latency_ms,cost_usd,reply,error
scheduled,gpt4o,1,1,door_open,safe,scheduled,0,"YOLO detections: window (conf=0.29, est_dist~0.3m [advisory], bbox=[0.7,0.2,319.5,239.5])",wall blocking path,hazard,0.2043,safe,1,5512.9,0.00481,"Description: The image shows a room with a glass door or partition, and tables or desks aligned in rows. The path at ~1m altitude appears clear, with space visible beyond the glass.
Proximity: The glass partition is approximately 1-2 meters away.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
scheduled,gpt4o,1,6,person_near,hazard,scheduled,1,"YOLO detections: chair (conf=0.59, est_dist~0.75m [advisory], bbox=[44.5,136.6,108.6,232.4])",cluttered room obstacles,caution,0.2084,hazard,1,3171.3,0.00478,"Description: The image shows a cluttered room with a person bending forward and a plastic chair in the background. The room appears dimly lit.
Proximity: The person appears to be close, possibly within 1 meter, while the chair is further away.
Risk: Hazard
Pilot suggested action: PITCH_BACK",
scheduled,gpt4o,2,1,door_open,safe,scheduled,0,"YOLO detections: window (conf=0.34, est_dist~2.46m [advisory], bbox=[0.0,120.2,16.8,149.5])",open room safe path,safe,0.2052,safe,1,3126.1,0.004795,"Description: The image shows an open room with a glass partition or window on the right side. The room appears well-lit and spacious, with no immediate obstacles at the drone's flight altitude.
Proximity: The glass partition is approximately 2-3 meters away.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
scheduled,gpt4o,2,6,person_near,hazard,scheduled,1,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.2057,hazard,1,3759.1,0.00488,"Description: The image shows a cluttered room with a person bending forward and a chair in the background. The person appears to be close to the camera.
Proximity: The person is visually close, likely within 1 meter.
Risk: Hazard
Pilot suggested action: PITCH_BACK",
scheduled,gpt4o,3,1,door_open,safe,scheduled,0,YOLO detections: none,open room safe path,safe,0.2056,safe,1,3942.0,0.00478,"Description: The image shows an open room with a clear path at approximately 1m altitude. There are tables and chairs, but they are below the drone's flight path. A glass partition is visible, indicating a navigable opening.
Proximity: The path ahead is clear, with no obstacles within 2m.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
scheduled,gpt4o,3,6,person_near,hazard,scheduled,1,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,0.2065,caution,0,3642.8,0.00496,"Description: The image shows a person standing in a cluttered room with various objects and furniture, including a chair. The room appears to be well-lit, and the person is not directly in the drone's flight path at ~1m altitude.
Proximity: The person appears to be more than 3 meters away.
Risk: Caution
Pilot suggested action: HOVER",
scheduled,gpt4o,4,1,door_open,safe,scheduled,0,YOLO detections: none,uncertain (open room safe path),unknown,0.2037,safe,1,3241.9,0.00463,"Description: The image shows an open room with a clear path at approximately 1m altitude. There are tables and a glass partition, but they do not obstruct the flight path.
Proximity: The path ahead is clear, with no obstacles within 2m.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
scheduled,gpt4o,4,6,person_near,hazard,scheduled,1,"YOLO detections: chair (conf=0.47, est_dist~0.72m [advisory], bbox=[55.3,139.8,113.9,239.8])",cluttered room obstacles,caution,0.2062,caution,0,3351.0,0.004825,"Description: The image shows a cluttered room with various objects, including a chair. The scene appears dimly lit, and there is a person standing in the background.
Proximity: The person appears to be more than 3 meters away, despite the YOLO estimate.
Risk: Caution
Pilot suggested action: HOVER",
scheduled,gpt4o,5,1,door_open,safe,scheduled,0,"YOLO detections: window (conf=0.29, est_dist~0.3m [advisory], bbox=[0.7,0.2,319.5,239.5])",wall blocking path,hazard,0.2043,safe,1,3653.1,0.00496,"Description: The image shows a room with a glass door or partition, and tables or desks aligned in rows. The path at ~1m altitude appears clear, and the glass partition is navigable.
Proximity: The glass partition is approximately 0.3m away, but it is not blocking the flight path.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
scheduled,gpt4o,5,6,person_near,hazard,scheduled,1,"YOLO detections: chair (conf=0.59, est_dist~0.75m [advisory], bbox=[44.5,136.6,108.6,232.4])",cluttered room obstacles,caution,0.2084,hazard,1,3107.0,0.00499,"Description: The image shows a cluttered room with a person bending forward and a plastic chair in the background. The room appears dimly lit, and there are various objects around, contributing to a cluttered environment.
Proximity: The person appears to be close, possibly within 1 meter, while the chair is further back.
Risk: Hazard
Pilot suggested action: PITCH_BACK",
scheduled,gpt4o_mini,1,1,door_open,safe,scheduled,0,"YOLO detections: window (conf=0.29, est_dist~0.3m [advisory], bbox=[0.7,0.2,319.5,239.5])",wall blocking path,hazard,0.2043,safe,1,6062.1,0.00059,"Description: The image shows an indoor space with a doorway leading to another area. The YOLO detection indicates a window, but the scene appears clear for flight at ~1m altitude. The CLIP label suggests a wall blocking the path, which does not align with the visible opening in the image. 
Proximity: The nearest obstacle appears to be the wall at the edge of the doorway, estimated to be more than 1m away.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
scheduled,gpt4o_mini,1,6,person_near,hazard,scheduled,1,"YOLO detections: chair (conf=0.59, est_dist~0.75m [advisory], bbox=[44.5,136.6,108.6,232.4])",cluttered room obstacles,caution,0.2084,safe,0,3308.5,0.000584,"Description: The image shows a cluttered indoor room with a person kneeling down and a chair visible in the background. The YOLO detection indicates a chair within proximity, but the person appears to be more than 3 meters away, contradicting the YOLO estimate of <1m. 
Proximity: The person appears to be at least 3 meters away based on visual assessment.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
scheduled,gpt4o_mini,2,1,door_open,safe,scheduled,0,"YOLO detections: window (conf=0.34, est_dist~2.46m [advisory], bbox=[0.0,120.2,16.8,149.5])",open room safe path,safe,0.2052,hazard,0,3633.2,0.000591,"Description: The image shows an open room with a glass partition and no visible obstacles directly in the flight path at ~1m altitude. The YOLO detection indicates a window, but the estimated distance seems inaccurate as the window is part of the navigable space. The CLIP label suggests a safe path, which aligns with the visual assessment.  
Proximity: The nearest objects appear to be more than 2m away, with no immediate hazards.  
Risk: safe  
Pilot suggested action: PITCH_FORWARD",
scheduled,gpt4o_mini,2,6,person_near,hazard,scheduled,1,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.2057,caution,0,3869.6,0.000599,"Description: The image shows a cluttered room with a person in the foreground and a chair in the background. The YOLO detection for the person indicates a proximity of <1m, but visually, the person appears to be further away, likely more than 3m. The scene is dimly lit, contributing to a cluttered appearance. 

Proximity: The person appears to be more than 3m away based on visual assessment, despite YOLO's estimate.

Risk: caution

Pilot suggested action: HOVER",
scheduled,gpt4o_mini,3,1,door_open,safe,scheduled,0,YOLO detections: none,open room safe path,safe,0.2056,safe,1,4581.9,0.000579,"Description: The image shows an open room with glass partitions and no visible obstacles in the flight path at approximately 1m altitude. There are no YOLO detections, but the CLIP label indicates a safe path. There is no discrepancy between the visual assessment and the CLIP label.  
Proximity: The flight path appears clear, with no obstacles or people within 3m.  
Risk: safe  
Pilot suggested action: PITCH_FORWARD",
scheduled,gpt4o_mini,3,6,person_near,hazard,scheduled,1,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,0.2065,safe,0,4991.2,0.000585,"Description: The image shows a cluttered room with a person standing in the center and a chair visible in the background. The YOLO detection indicates the chair is close, but the person appears to be more than 3 meters away, which contradicts the YOLO estimate of <1m. 
Proximity: The person looks to be at least 3-4 meters away from the drone.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
scheduled,gpt4o_mini,4,1,door_open,safe,scheduled,0,YOLO detections: none,uncertain (open room safe path),unknown,0.2037,safe,1,4221.8,0.000589,"Description: The image shows an open room with a clear flight path at approximately 1m altitude. There are no visible obstacles directly in the flight path, and the scene is well-lit. YOLO detections indicate none, but the CLIP label suggests uncertainty, which does not contradict the visual assessment of a clear path. 

Proximity: The nearest objects appear to be more than 3m away, with no people or obstacles close to the drone's flight path.

Risk: safe  
Pilot suggested action: PITCH_FORWARD",
scheduled,gpt4o_mini,4,6,person_near,hazard,scheduled,1,"YOLO detections: chair (conf=0.47, est_dist~0.72m [advisory], bbox=[55.3,139.8,113.9,239.8])",cluttered room obstacles,caution,0.2062,caution,0,3541.7,0.000596,"Description: The image shows a cluttered indoor room with a person standing in the center and a chair visible in the background. The YOLO detection indicates the chair is approximately 0.72m away, but the person appears to be further back, likely more than 3m away, which contradicts the YOLO estimate. 

Proximity: The person appears to be more than 3m away from the drone, while the chair is within the flight path but not directly obstructing it.

Risk: caution  
Pilot suggested action: HOVER",
scheduled,gpt4o_mini,5,1,door_open,safe,scheduled,0,"YOLO detections: window (conf=0.29, est_dist~0.3m [advisory], bbox=[0.7,0.2,319.5,239.5])",wall blocking path,hazard,0.2043,safe,1,3129.6,0.000584,"Description: The image shows an indoor space with a doorway leading to another area. The YOLO detection indicates a window, but the scene appears open and navigable. The CLIP label suggests a wall blocking the path, which contradicts the visual assessment of the doorway being clear. 
Proximity: The doorway appears to be within 1-2 meters, providing a clear path ahead.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
scheduled,gpt4o_mini,5,6,person_near,hazard,scheduled,1,"YOLO detections: chair (conf=0.59, est_dist~0.75m [advisory], bbox=[44.5,136.6,108.6,232.4])",cluttered room obstacles,caution,0.2084,safe,0,3431.8,0.000588,"Description: The image shows a cluttered indoor room with a person kneeling down and a chair visible in the background. The YOLO detection indicates a chair nearby, but the person appears to be more than 3 meters away, contradicting the YOLO estimate of <1m. 
Proximity: The person looks to be at least 3 meters away, and the flight path appears clear at ~1m altitude.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
scheduled,gemini,1,1,door_open,safe,scheduled,0,"YOLO detections: window (conf=0.29, est_dist~0.3m [advisory], bbox=[0.7,0.2,319.5,239.5])",wall blocking path,hazard,0.2043,safe,1,4049.8,9.8e-05,"Description: I see an open doorway or window with a view into a large room beyond. The YOLO detection of ""window"" is consistent with the image, and the CLIP label ""wall blocking path"" is incorrect as the path is open.
Proximity: The opening is very close, likely within 0.5m, but it is navigable.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
scheduled,gemini,1,6,person_near,hazard,scheduled,1,"YOLO detections: chair (conf=0.59, est_dist~0.75m [advisory], bbox=[44.5,136.6,108.6,232.4])",cluttered room obstacles,caution,0.2084,hazard,1,3750.0,9.2e-05,"Description: I see a person in the foreground, very close to the drone, bending over. A white chair is visible in the background to the left. The room appears cluttered.
Proximity: Very close (less than 1m)
Risk: hazard
Pilot suggested action: PITCH_BACK",
scheduled,gemini,2,1,door_open,safe,scheduled,0,"YOLO detections: window (conf=0.34, est_dist~2.46m [advisory], bbox=[0.0,120.2,16.8,149.5])",open room safe path,safe,0.2052,safe,1,4353.4,0.000105,"Description: I see an open doorway or partition on the right, leading into a larger room with what appears to be tables or equipment. The YOLO detection of ""window"" with an estimated distance of ~2.46m seems to refer to this open area, which is navigable. The CLIP label ""open room safe path"" aligns with the visual assessment.
Proximity: The open doorway/partition is immediately to the right, but the path ahead appears clear.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
scheduled,gemini,2,6,person_near,hazard,scheduled,1,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.2057,hazard,1,3172.1,0.000105,"Description: A person is directly in front of the drone, bending over. A chair is visible to the left, further back. The CLIP label ""cluttered room obstacles"" is consistent with the background. YOLO's est_dist for the person (~0.31m) seems accurate given their size in the frame.
Proximity: Person is very close, less than 1 meter.
Risk: hazard
Pilot suggested action: PITCH_BACK",
scheduled,gemini,3,1,door_open,safe,scheduled,0,YOLO detections: none,open room safe path,safe,0.2056,safe,1,2992.5,8.8e-05,"Description: The image shows an indoor scene with a glass partition or door on the right, leading into what appears to be an open room or corridor. The path ahead at ~1m altitude appears clear.
Proximity: Clear path ahead.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
scheduled,gemini,3,6,person_near,hazard,scheduled,1,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,0.2065,caution,0,6708.7,0.000107,"Description: I see a person standing in the center of the frame, with a chair to the left. The CLIP label ""cluttered room obstacles"" is consistent with the background. The YOLO detection of ""chair"" is accurate, but the est_dist of 0.74m seems too close for the chair, which appears further away.
Proximity: The person appears to be about 2-3 meters away. The chair is further back, likely 3-4 meters away.
Risk: caution
Pilot suggested action: HOVER",
scheduled,gemini,4,1,door_open,safe,scheduled,0,YOLO detections: none,uncertain (open room safe path),unknown,0.2037,safe,1,4257.2,9.5e-05,"Description: The image shows an indoor scene with a glass partition or doorway on the right, and what appears to be a room with tables or shelves on the left. The lighting is somewhat dim.
Proximity: The glass partition/doorway appears to be within 1-2 meters, but it is an opening. The room beyond appears clear.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
scheduled,gemini,4,6,person_near,hazard,scheduled,1,"YOLO detections: chair (conf=0.47, est_dist~0.72m [advisory], bbox=[55.3,139.8,113.9,239.8])",cluttered room obstacles,caution,0.2062,hazard,1,3443.0,9.8e-05,"Description: I see a person standing in the center of the frame, directly in the flight path. A white chair is visible to the left of the person. The room appears somewhat cluttered in the background.
Proximity: The person is very close, likely within 1-2 meters. The chair is also close, within 1 meter.
Risk: hazard
Pilot suggested action: PITCH_BACK",
scheduled,gemini,5,1,door_open,safe,scheduled,0,"YOLO detections: window (conf=0.29, est_dist~0.3m [advisory], bbox=[0.7,0.2,319.5,239.5])",wall blocking path,hazard,0.2043,safe,1,2817.4,9.8e-05,"Description: I see an open doorway or window with a view into a large room beyond. The YOLO detection of ""window"" is consistent with the image, and the CLIP label ""wall blocking path"" is incorrect as the path is open.
Proximity: The opening is very close, likely within 0.5m, but it is navigable.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
scheduled,gemini,5,6,person_near,hazard,scheduled,1,"YOLO detections: chair (conf=0.59, est_dist~0.75m [advisory], bbox=[44.5,136.6,108.6,232.4])",cluttered room obstacles,caution,0.2084,hazard,1,4678.4,9.2e-05,"Description: I see a person in the foreground, very close to the drone, bending over. A white chair is visible in the background to the left. The room appears cluttered.
Proximity: Very close (less than 1m)
Risk: hazard
Pilot suggested action: PITCH_BACK",
hybrid,claude,1,1,door_open,safe,scheduled,0,"YOLO detections: window (conf=0.29, est_dist~0.3m [advisory], bbox=[0.7,0.2,319.5,239.5])",wall blocking path,hazard,0.2043,safe,1,7326.3,0.005331,"Description: The image shows an indoor industrial or warehouse space with glass/aluminum partition walls and an open structural framework visible overhead; the space beyond appears open with ceiling lights visible in the background. YOLO reports a window at ~0.3m but the bbox covers nearly the full frame, indicating a heuristic failure — visually the glass partition appears to be several meters away with navigable space beyond it. CLIP's ""wall blocking path"" label overstates the risk as the partitions appear to have open doorways/frames.

Proximity: The glass partition walls and framing are visually estimated at 3–5m away, not 0.3m as YOLO suggests — the wide bbox is causing a false close-distance reading.

Risk: safe

Pilot suggested action: PITCH_FORWARD",
hybrid,claude,1,3,person_near,hazard,yolo,1,"YOLO detections: chair (conf=0.59, est_dist~0.75m [advisory], bbox=[44.5,136.6,108.6,232.4])",cluttered room obstacles,caution,0.2084,hazard,1,6586.7,0.004509,"Description: A person is standing directly in front of the camera/drone at very close range, dominating the frame and occupying the central flight corridor at approximately 1m altitude. A chair is visible to the left in the background but is not the primary concern.

Proximity: The person appears to be approximately 1–1.5m away based on their size filling most of the frame — they are clearly within or at the edge of the hazard threshold, directly in the flight path.

Risk: hazard

Pilot suggested action: PITCH_BACK",
hybrid,claude,1,6,person_near,hazard,scheduled,1,"YOLO detections: chair (conf=0.59, est_dist~0.75m [advisory], bbox=[44.5,136.6,108.6,232.4])",cluttered room obstacles,caution,0.2084,hazard,1,6700.1,0.005229,"Description: A person is standing/leaning forward very close to the drone, dominating the frame and occupying the central flight corridor at approximately drone altitude (~1m). A chair is visible in the background to the left, consistent with the YOLO detection, though the ~0.75m distance estimate for the chair is contradicted visually — the chair appears several meters away; the person, however, is clearly the primary concern and appears within 1–1.5m directly ahead.

Proximity: The person fills most of the frame, indicating they are very close — estimated less than 1.5m, likely within the hazard threshold of ~1m, and directly in the flight path at drone altitude.

Risk: hazard

Pilot suggested action: PITCH_BACK",
hybrid,claude,2,1,door_open,safe,scheduled,0,"YOLO detections: window (conf=0.34, est_dist~2.46m [advisory], bbox=[0.0,120.2,16.8,149.5])",open room safe path,safe,0.2052,safe,1,6149.7,0.004716,"Description: The image shows a large open industrial or office space with high ceilings, metal framing, glass partitions, and shelving visible in the background. The YOLO detection of a window at ~2.46m is a small edge detection on the left border and appears to be part of the structural framing rather than an obstacle blocking the flight path.

Proximity: The space ahead appears open with no immediate obstacles at ~1m altitude; structural elements (glass partitions, shelving) are estimated visually to be 3m+ away.

Risk: safe

Pilot suggested action: PITCH_FORWARD",
hybrid,claude,2,3,person_near,hazard,yolo,1,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.2057,hazard,1,7307.6,0.005493,"Description: A person is leaning forward in what appears to be a cluttered indoor workshop/room, occupying the central portion of the frame at what looks like roughly 1–2m away; a white plastic chair is visible to the left. The YOLO est_dist of ~0.31m for the person appears to be an overestimate of closeness due to the large bounding box heuristic, but the person does visually appear to be close — likely within 1–2m — and is directly in the drone's flight path at ~1m altitude.

Proximity: Visually the person appears approximately 1–1.5m away, directly ahead and centered in frame — close enough to be a direct flight path obstruction.

Risk: hazard

Pilot suggested action: PITCH_BACK",
hybrid,claude,2,6,person_near,hazard,scheduled,1,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.2057,hazard,1,6637.8,0.004953,"Description: A person is leaning/crouching forward and appears to occupy the central flight corridor at approximately drone altitude (~1m), filling a large portion of the frame which indicates close proximity; a chair is visible to the left but off to the side. The YOLO estimate of ~0.31m for the person is consistent with the visual — the person appears very close and directly in the flight path.

Proximity: The person visually appears to be within ~0.5–1m, directly ahead and centered in the frame, consistent with the YOLO close-distance estimate.

Risk: hazard

Pilot suggested action: PITCH_BACK",
hybrid,claude,3,1,door_open,safe,scheduled,0,YOLO detections: none,open room safe path,safe,0.2056,safe,1,6312.7,0.004218,"Description: The image shows a large indoor industrial or warehouse-like space with metal frame glass partitions/doors and shelving units visible. The space appears open with adequate lighting, and the path ahead at ~1m altitude appears clear through the glass partition framework.

Proximity: No immediate obstacles detected within 2m at drone flight altitude (~1m). The glass partition frames and shelving are to the sides, with open space visible beyond.

Risk: safe

Pilot suggested action: PITCH_FORWARD",
hybrid,claude,3,3,person_near,hazard,yolo,1,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,0.2065,hazard,1,6463.4,0.005079,"Description: A person is standing centrally in what appears to be a cluttered indoor workshop/storage room, with shelving units and various items visible in the background; a plastic chair is visible to the left. The person appears to be approximately 3-4 meters away based on their relative size in the frame, making the YOLO chair distance estimate of 0.74m likely an overestimate — the chair also appears further away.

Proximity: The person is visually estimated at ~3-4m away, well beyond the <1m hazard threshold; the chair is at floor level (~2-3m away), not in the 1m altitude flight corridor.

Risk: caution

Pilot suggested action: HOVER",
hybrid,claude,3,6,person_near,hazard,scheduled,1,"YOLO detections: chair (conf=0.32, est_dist~0.74m [advisory], bbox=[54.4,139.5,112.9,237.3])",cluttered room obstacles,caution,0.2065,hazard,1,6683.2,0.005304,"Description: A person is standing centrally in what appears to be a cluttered indoor workspace/workshop, with shelving units, a chair to the left, and various equipment in the background. The scene is somewhat dark and low-quality, consistent with the CLIP ""cluttered room"" label; the chair detected by YOLO is visible at the left side but not directly in the ~1m altitude flight corridor.

Proximity: The person appears to be approximately 2–3 meters away based on their apparent size and how they fill the frame — the YOLO distance heuristic is not directly applied to the person, but visually they are close enough to be a concern, likely within 2m and centered in the flight path.

Risk: hazard

Pilot suggested action: PITCH_BACK",
