condition,model,scene_label,truth,run,load_ms,tier1_5_ms,tier2_ms,llm_ms,total_ms,detected_risk,risk_correct,suggested_action,action_safe,action_dangerous,quality_score,input_tokens,output_tokens,cost_usd,reply,error
tier2_only,rule_based,wall_close,hazard,5,0.09,0.0,270.39,0,270.5,hazard,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=hazard → HOVER,
tier1_5_only,rule_based,object_table,caution,1,0.12,13.77,0.0,0,13.9,safe,0,PITCH_FORWARD,1,0,0,0,0,0.0,[rule-based] risk=safe → PITCH_FORWARD,
tier2_only,rule_based,object_table,caution,1,0.12,0.0,269.79,0,269.9,caution,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=caution → HOVER,
tier1_5_only,rule_based,object_table,caution,2,0.1,13.82,0.0,0,13.9,safe,0,PITCH_FORWARD,1,0,0,0,0,0.0,[rule-based] risk=safe → PITCH_FORWARD,
tier2_only,rule_based,object_table,caution,2,0.1,0.0,270.36,0,270.5,caution,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=caution → HOVER,
tier1_5_only,rule_based,object_table,caution,3,0.11,14.3,0.0,0,14.4,safe,0,PITCH_FORWARD,1,0,0,0,0,0.0,[rule-based] risk=safe → PITCH_FORWARD,
tier2_only,rule_based,object_table,caution,3,0.11,0.0,271.17,0,271.3,caution,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=caution → HOVER,
tier1_5_only,rule_based,object_table,caution,4,0.11,13.67,0.0,0,13.8,safe,0,PITCH_FORWARD,1,0,0,0,0,0.0,[rule-based] risk=safe → PITCH_FORWARD,
tier2_only,rule_based,object_table,caution,4,0.11,0.0,272.24,0,272.4,caution,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=caution → HOVER,
tier1_5_only,rule_based,object_table,caution,5,0.1,14.3,0.0,0,14.4,safe,0,PITCH_FORWARD,1,0,0,0,0,0.0,[rule-based] risk=safe → PITCH_FORWARD,
tier2_only,rule_based,object_table,caution,5,0.1,0.0,270.59,0,270.7,caution,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=caution → HOVER,
tier1_5_only,rule_based,dim_light,caution,1,0.28,14.28,0.0,0,14.6,safe,0,PITCH_FORWARD,1,0,0,0,0,0.0,[rule-based] risk=safe → PITCH_FORWARD,
tier2_only,rule_based,dim_light,caution,1,0.28,0.0,269.4,0,269.7,caution,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=caution → HOVER,
tier1_5_only,rule_based,dim_light,caution,2,0.09,13.5,0.0,0,13.6,safe,0,PITCH_FORWARD,1,0,0,0,0,0.0,[rule-based] risk=safe → PITCH_FORWARD,
tier2_only,rule_based,dim_light,caution,2,0.09,0.0,267.93,0,268.0,caution,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=caution → HOVER,
tier1_5_only,rule_based,dim_light,caution,3,0.11,14.43,0.0,0,14.5,safe,0,PITCH_FORWARD,1,0,0,0,0,0.0,[rule-based] risk=safe → PITCH_FORWARD,
tier2_only,rule_based,dim_light,caution,3,0.11,0.0,271.18,0,271.3,caution,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=caution → HOVER,
tier1_5_only,rule_based,dim_light,caution,4,0.11,13.34,0.0,0,13.4,safe,0,PITCH_FORWARD,1,0,0,0,0,0.0,[rule-based] risk=safe → PITCH_FORWARD,
tier2_only,rule_based,dim_light,caution,4,0.11,0.0,269.0,0,269.1,caution,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=caution → HOVER,
tier1_5_only,rule_based,dim_light,caution,5,0.11,13.49,0.0,0,13.6,safe,0,PITCH_FORWARD,1,0,0,0,0,0.0,[rule-based] risk=safe → PITCH_FORWARD,
tier2_only,rule_based,dim_light,caution,5,0.11,0.0,269.45,0,269.6,caution,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=caution → HOVER,
tier1_5_only,rule_based,cluttered,caution,1,0.12,14.46,0.0,0,14.6,safe,0,PITCH_FORWARD,1,0,0,0,0,0.0,[rule-based] risk=safe → PITCH_FORWARD,
tier2_only,rule_based,cluttered,caution,1,0.12,0.0,272.37,0,272.5,caution,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=caution → HOVER,
tier1_5_only,rule_based,cluttered,caution,2,0.11,13.96,0.0,0,14.1,safe,0,PITCH_FORWARD,1,0,0,0,0,0.0,[rule-based] risk=safe → PITCH_FORWARD,
tier2_only,rule_based,cluttered,caution,2,0.11,0.0,269.04,0,269.2,caution,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=caution → HOVER,
tier1_5_only,rule_based,cluttered,caution,3,0.13,13.45,0.0,0,13.6,safe,0,PITCH_FORWARD,1,0,0,0,0,0.0,[rule-based] risk=safe → PITCH_FORWARD,
tier2_only,rule_based,cluttered,caution,3,0.13,0.0,272.28,0,272.4,caution,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=caution → HOVER,
tier1_5_only,rule_based,cluttered,caution,4,0.11,14.42,0.0,0,14.5,safe,0,PITCH_FORWARD,1,0,0,0,0,0.0,[rule-based] risk=safe → PITCH_FORWARD,
tier2_only,rule_based,cluttered,caution,4,0.11,0.0,266.24,0,266.4,caution,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=caution → HOVER,
tier1_5_only,rule_based,cluttered,caution,5,0.12,14.12,0.0,0,14.2,safe,0,PITCH_FORWARD,1,0,0,0,0,0.0,[rule-based] risk=safe → PITCH_FORWARD,
tier2_only,rule_based,cluttered,caution,5,0.12,0.0,269.94,0,270.1,caution,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=caution → HOVER,
tier1_5_only,rule_based,door_open,safe,1,0.11,13.67,0.0,0,13.8,safe,1,PITCH_FORWARD,1,0,0,0,0,0.0,[rule-based] risk=safe → PITCH_FORWARD,
tier2_only,rule_based,door_open,safe,1,0.11,0.0,271.48,0,271.6,caution,0,HOVER,1,0,0,0,0,0.0,[rule-based] risk=caution → HOVER,
tier1_5_only,rule_based,door_open,safe,2,0.14,13.6,0.0,0,13.7,safe,1,PITCH_FORWARD,1,0,0,0,0,0.0,[rule-based] risk=safe → PITCH_FORWARD,
tier2_only,rule_based,door_open,safe,2,0.14,0.0,272.49,0,272.6,caution,0,HOVER,1,0,0,0,0,0.0,[rule-based] risk=caution → HOVER,
tier1_5_only,rule_based,door_open,safe,3,0.12,13.99,0.0,0,14.1,safe,1,PITCH_FORWARD,1,0,0,0,0,0.0,[rule-based] risk=safe → PITCH_FORWARD,
tier2_only,rule_based,door_open,safe,3,0.12,0.0,275.21,0,275.3,caution,0,HOVER,1,0,0,0,0,0.0,[rule-based] risk=caution → HOVER,
tier1_5_only,rule_based,door_open,safe,4,0.09,13.42,0.0,0,13.5,safe,1,PITCH_FORWARD,1,0,0,0,0,0.0,[rule-based] risk=safe → PITCH_FORWARD,
tier2_only,rule_based,door_open,safe,4,0.09,0.0,272.41,0,272.5,caution,0,HOVER,1,0,0,0,0,0.0,[rule-based] risk=caution → HOVER,
tier1_5_only,rule_based,door_open,safe,5,0.12,13.53,0.0,0,13.6,safe,1,PITCH_FORWARD,1,0,0,0,0,0.0,[rule-based] risk=safe → PITCH_FORWARD,
tier2_only,rule_based,door_open,safe,5,0.12,0.0,271.5,0,271.6,caution,0,HOVER,1,0,0,0,0,0.0,[rule-based] risk=caution → HOVER,
tier1_5_only,rule_based,person_far,caution,1,0.12,14.24,0.0,0,14.4,hazard,0,HOVER,1,0,0,0,0,0.0,[rule-based] risk=hazard → HOVER,
tier2_only,rule_based,person_far,caution,1,0.12,0.0,268.17,0,268.3,safe,0,PITCH_FORWARD,1,0,0,0,0,0.0,[rule-based] risk=safe → PITCH_FORWARD,
tier1_5_only,rule_based,person_far,caution,2,0.12,14.23,0.0,0,14.3,hazard,0,HOVER,1,0,0,0,0,0.0,[rule-based] risk=hazard → HOVER,
tier2_only,rule_based,person_far,caution,2,0.12,0.0,270.4,0,270.5,safe,0,PITCH_FORWARD,1,0,0,0,0,0.0,[rule-based] risk=safe → PITCH_FORWARD,
tier1_5_only,rule_based,person_far,caution,3,0.1,14.54,0.0,0,14.6,hazard,0,HOVER,1,0,0,0,0,0.0,[rule-based] risk=hazard → HOVER,
tier2_only,rule_based,person_far,caution,3,0.1,0.0,268.81,0,268.9,safe,0,PITCH_FORWARD,1,0,0,0,0,0.0,[rule-based] risk=safe → PITCH_FORWARD,
tier1_5_only,rule_based,person_far,caution,4,0.12,13.51,0.0,0,13.6,hazard,0,HOVER,1,0,0,0,0,0.0,[rule-based] risk=hazard → HOVER,
tier2_only,rule_based,person_far,caution,4,0.12,0.0,270.94,0,271.1,safe,0,PITCH_FORWARD,1,0,0,0,0,0.0,[rule-based] risk=safe → PITCH_FORWARD,
tier1_5_only,rule_based,person_far,caution,5,0.11,14.56,0.0,0,14.7,hazard,0,HOVER,1,0,0,0,0,0.0,[rule-based] risk=hazard → HOVER,
tier2_only,rule_based,person_far,caution,5,0.11,0.0,272.07,0,272.2,safe,0,PITCH_FORWARD,1,0,0,0,0,0.0,[rule-based] risk=safe → PITCH_FORWARD,
tier1_5_only,rule_based,blocked_lens,hazard,1,0.1,14.48,0.0,0,14.6,hazard,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=hazard → HOVER,
tier2_only,rule_based,blocked_lens,hazard,1,0.1,0.0,269.85,0,270.0,safe,0,PITCH_FORWARD,0,1,0,0,0,0.0,[rule-based] risk=safe → PITCH_FORWARD,
tier1_5_only,rule_based,blocked_lens,hazard,2,0.12,13.68,0.0,0,13.8,hazard,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=hazard → HOVER,
tier2_only,rule_based,blocked_lens,hazard,2,0.12,0.0,272.42,0,272.5,safe,0,PITCH_FORWARD,0,1,0,0,0,0.0,[rule-based] risk=safe → PITCH_FORWARD,
tier1_5_only,rule_based,blocked_lens,hazard,3,0.09,14.25,0.0,0,14.3,hazard,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=hazard → HOVER,
tier2_only,rule_based,blocked_lens,hazard,3,0.09,0.0,273.46,0,273.5,safe,0,PITCH_FORWARD,0,1,0,0,0,0.0,[rule-based] risk=safe → PITCH_FORWARD,
tier1_5_only,rule_based,blocked_lens,hazard,4,0.11,13.72,0.0,0,13.8,hazard,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=hazard → HOVER,
tier2_only,rule_based,blocked_lens,hazard,4,0.11,0.0,270.54,0,270.7,safe,0,PITCH_FORWARD,0,1,0,0,0,0.0,[rule-based] risk=safe → PITCH_FORWARD,
tier1_5_only,rule_based,blocked_lens,hazard,5,0.11,13.97,0.0,0,14.1,hazard,1,HOVER,1,0,0,0,0,0.0,[rule-based] risk=hazard → HOVER,
tier2_only,rule_based,blocked_lens,hazard,5,0.11,0.0,268.31,0,268.4,safe,0,PITCH_FORWARD,0,1,0,0,0,0.0,[rule-based] risk=safe → PITCH_FORWARD,
tier3_only,claude,person_near,hazard,1,0.11,0,0,4362.1,4362.2,hazard,1,HOVER,1,0,5,407,99,0.002706,"Description: A person is standing directly in front of the camera with both arms raised, appearing to be in the center of the frame in what looks like a workshop or storage room. The individual appears to be relatively close to the camera/drone with shelving and clutter visible in the background.

Proximity: Person appears to be approximately 1–2 meters away, positioned directly in the flight path.

Risk: hazard

Pilot suggested action: HOVER",
tier1_5_tier2_tier3,claude,person_near,hazard,1,0.11,14.01,266.64,6683.8,6964.6,hazard,1,HOVER,1,0,5,974,219,0.006207,"Description: A person is standing directly in front of the camera with both arms raised, appearing to be in close proximity to the drone — they occupy a large portion of the frame, suggesting they are within 1–2 metres. The indoor environment shows shelving and clutter in the background.

Sensor note: The local detector estimates the person at 0.24m (geometric fallback, lower trust), which appears plausible given how large the person fills the frame; the wall detection at 0.45m (DepthAnything v2) may be partially occluded by the person. Overall broadly consistent, though the person's true distance is likely 1–2m rather than 0.24m based on visual proportion.

Proximity: Person visually estimated at approximately 1–1.5m — close enough to constitute a hazard given the raised arms extending further toward the drone and the ~1m flight corridor being directly obstructed.

Risk: hazard

Pilot suggested action: HOVER",
tier3_only,gpt4o,person_near,hazard,1,0.11,0,0,2462.8,2462.9,hazard,1,HOVER,1,0,5,317,47,0.00229,"Description: The image shows a person standing indoors, with various objects and furniture around. The person appears to be close to the camera.
Proximity: Less than 1 meter.
Risk: Hazard
Pilot suggested action: HOVER",
tier1_5_tier2_tier3,gpt4o,person_near,hazard,1,0.11,14.01,266.64,2345.8,2626.6,hazard,1,HOVER,1,0,5,789,75,0.00507,"Description: The image shows a person standing indoors, with various objects and furniture around. The person appears to be close to the camera.
Sensor note: The local detector's estimation of the person being very close is consistent with the image.
Proximity: The person is visually estimated to be less than 1 meter away.
Risk: Hazard
Pilot suggested action: HOVER",
tier3_only,gpt4o_mini,person_near,hazard,1,0.11,0,0,6655.8,6655.9,caution,0,HOVER,1,0,4,3084,65,0.000502,"Description: The image shows a person standing in a room with some clutter in the background, including furniture and equipment. The lighting appears dim, but the scene is not fully dark. 

Proximity: The person is approximately 2-3 meters away from the camera.

Risk: caution

Pilot suggested action: HOVER",
tier1_5_tier2_tier3,gpt4o_mini,person_near,hazard,1,0.11,14.01,266.64,3686.4,3967.2,hazard,1,HOVER,1,0,5,3556,88,0.000586,"Description: The image shows a person standing in a room with various objects around, including furniture. The person appears to be relatively close to the drone's flight path. 
Sensor note: The local detector indicates a person detected at 0.24m, which is consistent with my visual analysis. 
Proximity: The closest object/person is approximately 0.5m away. 
Risk: hazard 
Pilot suggested action: HOVER",
tier3_only,gemini,person_near,hazard,1,0.11,0,0,2394.7,2394.8,hazard,1,HOVER,1,0,5,520,54,5.5e-05,"Description: A person is standing directly in front of the camera, appearing to be centered in the frame. The background shows what looks like a cluttered indoor space with furniture and shelves.
Proximity: <1m
Risk: hazard
Pilot suggested action: HOVER",
tier1_5_tier2_tier3,gemini,person_near,hazard,1,0.11,14.01,266.64,3509.9,3790.7,hazard,1,HOVER,1,0,5,1026,123,0.000114,"Description: A person is standing directly in front of the drone, occupying the majority of the frame. The background appears to be an indoor room with some furniture and shelves.
Sensor note: The local detector correctly identified a person, but its estimated distance of 0.24m is too close given the visual evidence. YOLO-World detected a ""wall"" at 0.45m, which is inconsistent with the prominent person in the foreground.
Proximity: The person is visually very close, estimated to be well within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",
tier3_only,claude,person_near,hazard,2,0.68,0,0,3421.5,3422.2,hazard,1,HOVER,1,0,5,407,90,0.002571,"Description: A person is standing directly in front of the camera with both arms raised, positioned centrally in the frame in what appears to be an indoor workshop or storage area. The person appears to be relatively close to the camera/drone.

Proximity: Person appears to be approximately 1-2 meters away, occupying a large portion of the frame.

Risk: hazard

Pilot suggested action: HOVER",
tier1_5_tier2_tier3,claude,person_near,hazard,2,0.68,30.45,276.34,7063.7,7371.2,hazard,1,HOVER,1,0,5,974,214,0.006132,"Description: A person is standing in what appears to be an indoor workshop/storage area, facing the camera with arms raised, at what appears to be a moderate distance of roughly 2-4 meters; the room is lit but somewhat dim, with shelving and clutter visible in the background.

Sensor note: The local detector estimates person at 0.24m which appears to be a significant overestimate of proximity — visually the person appears considerably further away, closer to 2-4m. The wall detection at 0.45m is plausible given background clutter. The geometric fallback (est_dist) for person distance is likely unreliable here.

Proximity: Person visually estimated at approximately 2-4m away; closest hard obstacle (wall/shelving) appears within ~1-2m laterally. Person does not appear to be within the <1m hazard threshold based on visual analysis.

Risk: caution

Pilot suggested action: HOVER",
tier3_only,gpt4o,person_near,hazard,2,0.68,0,0,2147.9,2148.6,hazard,1,HOVER,1,0,5,317,47,0.00229,"Description: The image shows a person standing indoors, with various objects and furniture around. The person appears to be close to the camera.
Proximity: Less than 1 meter.
Risk: Hazard
Pilot suggested action: HOVER",
tier1_5_tier2_tier3,gpt4o,person_near,hazard,2,0.68,30.45,276.34,2123.0,2430.5,hazard,1,HOVER,1,0,5,789,75,0.00507,"Description: The image shows a person standing indoors, with various objects and furniture around. The person appears to be close to the camera.
Sensor note: The local detector's estimation of the person being very close is consistent with the image.
Proximity: The person is visually estimated to be less than 1 meter away.
Risk: Hazard
Pilot suggested action: HOVER",
tier3_only,gpt4o_mini,person_near,hazard,2,0.68,0,0,5863.7,5864.4,caution,0,HOVER,1,0,4,3084,65,0.000502,"Description: The image shows a person standing in a room with some clutter in the background, including furniture and equipment. The lighting appears dim, but the scene is not fully dark. 

Proximity: The person is approximately 2-3 meters away from the camera.

Risk: caution

Pilot suggested action: HOVER",
tier1_5_tier2_tier3,gpt4o_mini,person_near,hazard,2,0.68,30.45,276.34,3969.8,4277.3,hazard,1,HOVER,1,0,5,3556,88,0.000586,"Description: The image shows a person standing in a room with various objects around, including furniture. The person appears to be relatively close to the drone's flight path. 
Sensor note: The local detector indicates a person detected at 0.24m, which is consistent with my visual analysis. 
Proximity: The closest object/person is approximately 0.24m away. 
Risk: hazard 
Pilot suggested action: HOVER",
tier3_only,gemini,person_near,hazard,2,0.68,0,0,1587.6,1588.3,hazard,1,HOVER,1,0,5,520,54,5.5e-05,"Description: A person is standing directly in front of the camera, appearing to be centered in the frame. The background shows what looks like a cluttered indoor space with furniture and shelves.
Proximity: <1m
Risk: hazard
Pilot suggested action: HOVER",
tier1_5_tier2_tier3,gemini,person_near,hazard,2,0.68,30.45,276.34,2098.4,2405.9,hazard,1,HOVER,1,0,5,1026,124,0.000114,"Description: A person is standing directly in front of the drone, occupying the majority of the frame. The background appears to be an indoor room with some furniture and shelves.
Sensor note: The local detector correctly identified a person, but its estimated distance of 0.24m is too close given the visual evidence. YOLO-World detected a ""wall"" at 0.45m, which is inconsistent with the primary object being a person.
Proximity: The person is visually very close, estimated to be less than 1 meter away.
Risk: hazard
Pilot suggested action: HOVER",
tier3_only,claude,person_near,hazard,3,0.57,0,0,3915.2,3915.8,hazard,1,HOVER,1,0,5,407,85,0.002496,"Description: A person is standing in the center of the frame with both arms raised, appearing to be in a warehouse or workshop environment with shelving and equipment visible in the background.
Proximity: The person appears to be approximately 2–3 meters away, positioned directly in the drone's forward flight path with arms extended upward.

Risk: hazard
Pilot suggested action: HOVER",
tier1_5_tier2_tier3,claude,person_near,hazard,3,0.57,40.6,269.01,6656.5,6966.7,caution,0,HOVER,1,0,4,974,192,0.005802,"Description: A person is standing in what appears to be an indoor workshop/storage area, facing the camera with both arms raised, positioned relatively close to the camera's viewpoint. The room has shelving, equipment, and clutter in the background.

Sensor note: Local detector estimates person at 0.24m which seems too close given visual appearance, but the person is clearly within 2-3m range; the geometric fallback (est_dist) has lower trust. Visually the person appears to be roughly 2-4m away, not 0.24m — likely a heuristic overestimate of closeness.

Proximity: Person appears visually at approximately 2–3m based on their apparent size relative to the frame and room context; closer than the safe >3m threshold but not immediately adjacent.

Risk: caution

Pilot suggested action: HOVER",
tier3_only,gpt4o,person_near,hazard,3,0.57,0,0,3063.6,3064.2,hazard,1,HOVER,1,0,5,317,54,0.002395,"Description: The image shows a person standing indoors, with various objects and furniture around. The scene is somewhat cluttered.
Proximity: The person appears to be very close, likely less than 1 meter away.
Risk: hazard
Pilot suggested action: HOVER",
tier1_5_tier2_tier3,gpt4o,person_near,hazard,3,0.57,40.6,269.01,2155.6,2465.8,hazard,1,HOVER,1,0,5,789,75,0.00507,"Description: The image shows a person standing indoors, with various objects and furniture around. The person appears to be close to the camera.
Sensor note: The local detector's estimation of the person being very close is consistent with the image.
Proximity: The person is visually estimated to be less than 1 meter away.
Risk: Hazard
Pilot suggested action: HOVER",
tier3_only,gpt4o_mini,person_near,hazard,3,0.57,0,0,4607.6,4608.2,caution,0,HOVER,1,0,4,3084,65,0.000502,"Description: The image shows a person standing in a room with some clutter in the background, including furniture and equipment. The lighting appears dim, but the scene is not fully dark. 

Proximity: The person is approximately 2-3 meters away from the camera.

Risk: caution

Pilot suggested action: HOVER",
tier1_5_tier2_tier3,gpt4o_mini,person_near,hazard,3,0.57,40.6,269.01,3790.4,4100.6,hazard,1,HOVER,1,0,5,3556,88,0.000586,"Description: The image shows a person standing in a room with various objects around, including furniture. The person appears to be relatively close to the drone's flight path. 
Sensor note: The local detector indicates a person detected at 0.24m, which is consistent with my visual analysis. 
Proximity: The closest object/person is approximately 0.24m away. 
Risk: hazard 
Pilot suggested action: HOVER",
tier3_only,gemini,person_near,hazard,3,0.57,0,0,1539.4,1540.0,hazard,1,HOVER,1,0,5,520,66,5.9e-05,"Description: A person is standing directly in front of the camera, appearing to be centered in the frame. The background shows what looks like a cluttered room with shelves and other objects.
Proximity: The person appears to be within 1-2 meters of the camera.
Risk: hazard
Pilot suggested action: HOVER",
tier1_5_tier2_tier3,gemini,person_near,hazard,3,0.57,40.6,269.01,1637.0,1947.2,hazard,1,HOVER,1,0,5,1026,123,0.000114,"Description: A person is standing directly in front of the drone, occupying the majority of the frame. The background appears to be an indoor room with some furniture and shelves.
Sensor note: The local detector correctly identified a person, but its estimated distance of 0.24m is too close given the visual evidence. YOLO-World detected a ""wall"" at 0.45m, which is inconsistent with the prominent person in the foreground.
Proximity: The person is visually very close, estimated to be well within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",
tier3_only,claude,person_near,hazard,4,0.56,0,0,3586.0,3586.6,hazard,1,HOVER,1,0,5,407,83,0.002466,"Description: A person is standing in the center of the frame with both arms raised, appearing to be relatively close to the camera, in what looks like a cluttered indoor workshop or storage room.
Proximity: The person appears to be approximately 1–2 meters away, with arms extended upward and toward the camera.
Risk: hazard
Pilot suggested action: HOVER",
tier1_5_tier2_tier3,claude,person_near,hazard,4,0.56,30.72,273.32,6965.8,7270.4,hazard,1,HOVER,1,0,5,974,194,0.005832,"Description: A person is standing in what appears to be an indoor workshop or storage room, with their arms raised, positioned relatively close to the camera/drone at what appears to be roughly 2–3 meters distance; shelving and clutter are visible in the background.
Sensor note: The local detector estimates person at 0.24m which appears too close based on visual analysis — the person looks to be further away (~2–3m); however, they are clearly within a potentially hazardous proximity range and are directly in the flight path.
Proximity: Person is the closest object, visually estimated at approximately 2–3m, though the raised arms and forward-facing posture mean limb reach could reduce effective clearance; wall/shelving detected at 0.45m is likely a lateral surface rather than direct forward obstacle.
Risk: caution
Pilot suggested action: HOVER",
tier3_only,gpt4o,person_near,hazard,4,0.56,0,0,2145.4,2146.0,hazard,1,HOVER,1,0,5,317,52,0.002365,"Description: The image shows a person standing indoors, with various objects and furniture around. The scene is somewhat cluttered.
Proximity: The person appears to be very close, likely within 1 meter.
Risk: Hazard
Pilot suggested action: HOVER",
tier1_5_tier2_tier3,gpt4o,person_near,hazard,4,0.56,30.72,273.32,2457.4,2762.0,hazard,1,HOVER,1,0,5,789,70,0.004995,"Description: The image shows a person standing indoors, with various objects and furniture around. The person appears to be close to the camera.
Sensor note: Consistent with local detector's person detection at close proximity.
Proximity: The person is visually estimated to be less than 1 meter away.
Risk: Hazard
Pilot suggested action: HOVER",
tier3_only,gpt4o_mini,person_near,hazard,4,0.56,0,0,3389.3,3389.9,caution,0,HOVER,1,0,4,3084,62,0.0005,"Description: The image shows a person standing in a room with some clutter in the background. The lighting appears dim, and there are various objects around the floor level. 

Proximity: The person is approximately 1-2 meters away from the camera.

Risk: caution

Pilot suggested action: HOVER",
tier1_5_tier2_tier3,gpt4o_mini,person_near,hazard,4,0.56,30.72,273.32,5519.2,5823.8,hazard,1,HOVER,1,0,5,3556,88,0.000586,"Description: The image shows a person standing in a room with various objects around, including furniture. The person appears to be relatively close to the drone's flight path. 
Sensor note: The local detector indicates a person detected at 0.24m, which is consistent with my visual analysis. 
Proximity: The closest object/person is approximately 0.5m away. 
Risk: hazard 
Pilot suggested action: HOVER",
tier3_only,gemini,person_near,hazard,4,0.56,0,0,1745.3,1745.9,hazard,1,HOVER,1,0,5,520,66,5.9e-05,"Description: A person is standing directly in front of the camera, appearing to be centered in the frame. The background shows what looks like a cluttered room with shelves and other objects.
Proximity: The person appears to be within 1-2 meters of the camera.
Risk: hazard
Pilot suggested action: HOVER",
