run,model,scene_label,truth,latency_ms,input_tokens,output_tokens,cost_usd,reply,error
1,gpt4o,blocked_lens,hazard,2357.8,699,64,0.004455,"Description: The image appears to be heavily distorted with noise, making it difficult to discern any clear objects or features.
Sensor note: Consistent with no YOLO detections; image quality prevents reliable analysis.
Proximity: Unable to visually estimate due to image distortion.
Risk: Hazard
Pilot suggested action: HOVER",
1,gpt4o_mini,person_near,hazard,3672.7,3508,99,0.000586,"Description: The image shows a person standing in a room with various objects in the background, including furniture and a chair. The person appears to be within 1 meter of the drone's flight path. 

Sensor note: The YOLO detection indicates a wall at 0.45m, but the person is not detected, which is a discrepancy. 

Proximity: The person is approximately 0.5m away from the drone. 

Risk: hazard  
Pilot suggested action: LAND",
1,gpt4o_mini,wall_close,hazard,2875.0,3508,77,0.000572,"Description: The image appears to show a plain, featureless wall with no visible obstacles or persons nearby. The lighting seems adequate, indicating a clear view of the surroundings.  
Sensor note: consistent  
Proximity: The closest object is the wall, approximately 2.09m away as indicated by the depth sensor.  
Risk: safe  
Pilot suggested action: PROCEED",
1,gpt4o_mini,object_table,caution,4102.7,3508,110,0.000592,"Description: The image shows a laptop on a table with a cluttered background, including shelves and other objects. The scene appears well-lit, but there are various items that could potentially obstruct a flight path. 

Sensor note: Consistent with YOLO detection of a shelf at 2.53m, but the clutter at table level is not fully accounted for. 

Proximity: The closest object appears to be the laptop itself, which is approximately 0.5m away. 

Risk: Caution  
Pilot suggested action: HOVER",
1,gpt4o_mini,dim_light,caution,4004.7,3508,109,0.000592,"Description: The image appears dimly lit with some indistinct shapes, suggesting potential obstacles or clutter in the environment. The visibility is low, making it difficult to ascertain the exact layout of the space.

Sensor note: The YOLO detection indicates a wall at a distance of 0.42m, but the overall scene is cluttered, which may not be fully captured by the sensors.

Proximity: The closest object appears to be within 1 meter, likely contributing to the clutter.

Risk: caution

Pilot suggested action: HOVER",
1,gpt4o_mini,cluttered,caution,3045.2,3508,102,0.000587,"Description: The image shows a workspace with a white surface, a stapler, and some boxes in the background. The area appears cluttered but does not have any immediate obstacles blocking a flight path at 1m altitude. 

Sensor note: consistent with YOLO detections indicating a wall at 4.03m away. 

Proximity: The closest object appears to be the stapler, which is approximately 0.5m away. 

Risk: caution  
Pilot suggested action: HOVER",
1,gpt4o_mini,door_open,safe,3372.3,3551,87,0.000585,"Description: The image shows an indoor environment with a clear path and no visible obstacles directly in the flight path. There are tables and equipment in the background, but they do not obstruct the corridor. The lighting appears adequate for navigation.

Sensor note: consistent

Proximity: The closest object appears to be more than 2 meters away, based on visual assessment and depth data.

Risk: safe

Pilot suggested action: PITCH_FORWARD",
1,gpt4o_mini,person_far,caution,3453.3,3466,76,0.000566,"Description: The image shows an indoor environment with a person standing in the center, surrounded by furniture and equipment. The person appears to be within 1 meter of the drone's flight path. 

Sensor note: consistent 
Proximity: The closest object/person is the individual, estimated to be less than 1 meter away. 
Risk: hazard 
Pilot suggested action: LAND",
1,gpt4o_mini,blocked_lens,hazard,3497.6,3466,73,0.000564,"Description: The image appears to be a noisy, static-filled screen with no discernible objects or features visible. It lacks clarity and detail, making it difficult to assess the environment accurately. 

Sensor note: consistent

Proximity: Unable to determine proximity due to lack of visual information; depth_m is not applicable.

Risk: hazard

Pilot suggested action: LAND",
1,gemini,person_near,hazard,2280.4,969,108,0.000105,"Description: A person is standing directly in front of the drone, occupying a significant portion of the frame. The background appears to be an indoor room with some furniture and shelves.
Sensor note: YOLO detected a 'wall' at 0.45m, which is inconsistent with the visual presence of a person directly in front of the drone. The person is the primary obstacle.
Proximity: The person is very close, visually estimated to be well within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",
1,gemini,wall_close,hazard,4126.4,969,112,0.000106,"Description: The image shows a plain, light-colored wall directly in front of the drone, filling almost the entire frame. There is a dark line at the very top, possibly a ceiling or a seam.
Sensor note: Consistent. YOLO-World detected a wall, which aligns with the visual evidence.
Proximity: The wall appears to be very close, likely within 1 meter, despite the sensor reporting 2.09m. The image is almost entirely filled by the wall.
Risk: hazard
Pilot suggested action: HOVER",
1,gemini,object_table,caution,3922.1,972,101,0.000103,"Description: The drone is facing a laptop on a table, which is the primary obstacle in the immediate flight path. The background appears to be an indoor room with shelves or cabinets.
Sensor note: The YOLO detection of 'shelf' at 2.53m is consistent with the background, but it missed the prominent laptop in the foreground.
Proximity: The laptop is very close, visually estimated to be well within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",
1,gemini,dim_light,caution,3103.4,969,141,0.000115,"Description: The image is extremely dark and noisy, making it very difficult to discern any clear objects or the flight path. There appears to be some indistinct shapes, possibly furniture or plants, but their exact nature and distance are impossible to determine.
Sensor note: The YOLO detection of ""wall"" at 0.42m is plausible given the general blur and potential for a close, indistinct surface, but the image quality makes independent verification impossible.
Proximity: Visually, it's impossible to determine proximity due to the severe image degradation. The sensor reports a wall at 0.42m, which would be a hazard.
Risk: hazard
Pilot suggested action: HOVER",
1,gemini,cluttered,caution,3205.6,969,157,0.00012,"Description: The image shows a cluttered desk or workbench area with various objects, including a large white panel, a cardboard box, and a white container. The drone's flight path at 1m altitude appears to be obstructed by these objects.
Sensor note: The YOLO detection of ""wall"" at 4.03m is inconsistent with the visual evidence, as there are clearly closer objects obstructing the immediate foreground. The ""wall"" detection might be referring to the large white panel, but its depth estimate seems too far given its apparent size and proximity.
Proximity: The closest objects, including the white container and the cardboard box, appear to be within 0.5 to 1 meter of the camera.
Risk: hazard
Pilot suggested action: HOVER",
1,gemini,door_open,safe,2206.1,1018,122,0.000113,"Description: The image shows an indoor environment with a partially open door or partition on the right, leading into what appears to be a long corridor or room with tables/benches. The lighting is adequate.
Sensor note: The YOLO detections for ""train"" and ""window"" are inconsistent with the visual content. There is no train visible, and the detected ""window"" is likely part of the door/partition structure.
Proximity: The closest object is the open door/partition on the right, visually estimated to be within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",
1,gemini,person_far,caution,4102.2,918,121,0.000105,"Description: A person is standing directly in front of the drone, appearing to block the immediate flight path. The room appears to be an indoor workspace with various objects in the background.
Sensor note: YOLO detections: none. (depth_m = 1.5m, est_dist = 1.2m). The sensors did not detect the person, but the person is clearly visible in the image.
Proximity: The person is visually estimated to be within 1-1.5 meters, directly in the flight path.
Risk: hazard
Pilot suggested action: HOVER",
1,gemini,blocked_lens,hazard,2570.7,918,44,8.2e-05,"Description: The image is completely obscured by heavy visual noise, making it impossible to discern any features or objects.
Sensor note: consistent
Proximity: Indeterminable
Risk: hazard
Pilot suggested action: LAND",
2,claude,person_near,hazard,5478.5,915,150,0.004995,"Description: A person is standing directly in front of the camera at close range (estimated 1–2m), arms raised, in what appears to be an indoor workshop or storage area with shelving and equipment in the background.
Sensor note: YOLO detected only a 'wall' at 0.45m but missed the person who is clearly the dominant and closest object in the frame — significant under-detection; the person is the primary hazard.
Proximity: Person visually estimated at approximately 1–1.5m directly ahead, well within the hazard threshold of <1m–2m blocking the flight path.
Risk: hazard
Pilot suggested action: HOVER",
2,claude,wall_close,hazard,5580.0,915,161,0.00516,"Description: The image shows a plain, uniform light-grey wall filling essentially the entire frame, with no obstacles, persons, or clutter visible at the ~1m flight corridor level.
Sensor note: Consistent — YOLO-World detected a wall at 2.09m depth, which aligns with the visually observed blank wall surface dominating the frame.
Proximity: Closest object is the wall, estimated visually at approximately 2m, consistent with DepthAnything v2 reading of 2.09m.
Risk: caution
Pilot suggested action: HOVER — wall is directly ahead at ~2m; recommend yawing or pitching back to reorient before proceeding to avoid collision.",
2,claude,object_table,caution,6017.1,915,170,0.005295,"Description: The image shows an indoor environment with a laptop on a desk displaying code/IDE, with bookshelves or storage units visible in the background; the scene is dimly lit with low overall brightness and significant visual clutter at desk/table level.

Sensor note: YOLO-World detected a shelf at 2.53m with low confidence (0.19); the laptop on the desk is a prominent undetected object that poses a potential obstacle — sensors missed it entirely.

Proximity: The desk surface with the laptop appears to be within approximately 1–1.5m based on its size relative to the frame; the background shelving is consistent with the ~2.5m depth reading from DA v2.

Risk: caution

Pilot suggested action: HOVER",
2,claude,dim_light,caution,9179.2,915,299,0.00723,"Description: The image shows a heavily noise-corrupted, greenish indoor scene that appears to be a room with furniture (what looks like a couch/seating area and possibly a desk or shelving) visible through significant sensor noise; the scene is very dim and image quality is extremely degraded, making precise obstacle identification difficult.
Sensor note: YOLO-World detected a wall at 0.42m depth — this is consistent with the visible furniture/wall structures appearing very close in the image frame; the low confidence (0.33) reflects the poor image quality.
Proximity: Closest object appears to be approximately 0.4–0.6m away (furniture or wall), consistent with the DepthAnything depth_m reading of 0.42m — this is within hazard range for the forward flight path.
Risk: hazard
Pilot suggested action: HOVER

**Reasoning:** The DepthAnything v2 metric depth of 0.42m (high-trust sensor) combined with my visual confirmation of close-range structures directly ahead places an obstacle within the critical <2m forward corridor at ~1m flight altitude. The extreme image noise also independently triggers a **caution** floor, but the proximity reading elevates this to **hazard**. Immediate hover is warranted until the scene can be reassessed or the drone repositioned safely.",
2,claude,cluttered,caution,5741.4,915,185,0.00552,"Description: The image shows an indoor environment, likely a warehouse or office space, with what appears to be machinery or conveyor equipment in the foreground at roughly drone height, along with shelving or walls in the background. The scene is somewhat cluttered with equipment and boxes at mid-level.

Sensor note: YOLO detected a wall at 4.03m depth, which is consistent with the background structures visible; however, the foreground equipment/conveyor-like structure is not detected by sensors but is clearly visible in the image and poses a closer obstacle risk.

Proximity: The closest object — the dark machinery/conveyor structure in the lower foreground — appears to be within approximately 1–2m of the camera, potentially closer than the sensor-detected wall at 4.03m.

Risk: caution

Pilot suggested action: HOVER",
2,claude,door_open,safe,8822.9,961,285,0.007158,"Description: The image shows a large indoor industrial or warehouse-like space with glass partitions/frames in the foreground, open ceiling with exposed ductwork, and what appears to be a long corridor or hall extending into the background with overhead lighting. The immediate flight path appears structurally open but the glass partition frames at close range pose a collision risk.

Sensor note: The ""train"" detection (conf=0.22) at 3.6m is likely a misclassification — no train is visible; this is probably a structural element or shelving. The ""window"" detection at 3.2m is consistent with the visible glass partition frames. Both detections appear to be background structural elements rather than immediate hazards.

Proximity: The glass partition frame structure appears to be the closest obstacle, visually estimated at approximately 1–2m directly ahead and to the sides, consistent with the sensor depth readings of 3.2–3.6m which may be reading through the glass to background elements — actual frame proximity could be closer than reported.

Risk: caution

Pilot suggested action: HOVER — reassess heading; the glass partition frames create a confined navigation channel. Consider YAW_LEFT or YAW_RIGHT to orient along an open corridor before proceeding, and verify clearance before any forward pitch.",
2,claude,person_far,caution,8120.6,869,255,0.006432,"Description: An indoor industrial/workshop space with a person standing centrally at approximately 4-6 meters distance, surrounded by shelving units, machinery, and miscellaneous equipment; the scene is dim with overhead fluorescent lighting providing moderate illumination.
Sensor note: YOLO reports no detections, but the image clearly shows a human figure standing in the middle of the frame — this is a missed detection; visual analysis overrides sensor data.
Proximity: The person appears to be approximately 4-6 meters away based on their relative size and the room scale; no objects appear to be within 1-2 meters of the drone's likely position near the entrance.
Risk: caution
Pilot suggested action: HOVER

**Reasoning:** The person is visually present but not immediately close (<1m), so this is not an immediate hazard. However, the dim lighting, cluttered environment (chairs, equipment on floor level), and the undetected person all warrant a cautious hold. YOLO's failure to detect the human is a significant sensor gap that elevates concern. Recommend hovering in place and alerting the pilot to confirm safe passage before proceeding.",
2,claude,blocked_lens,hazard,8010.2,869,201,0.005622,"Description: The image shows severe visual noise/static — the camera feed appears to be completely corrupted, displaying only random green, blue, and red pixel noise with no discernible scene content visible.
Sensor note: YOLO detections report none, but this is likely because the camera feed itself is corrupted/unusable — the sensor data cannot be trusted in this state as perception depends on a valid image stream.
Proximity: Cannot be determined — image is entirely noise; no depth or spatial information extractable from the visual feed.
Risk: hazard
Pilot suggested action: LAND

**Reasoning:** A fully corrupted camera feed is treated equivalently to a covered lens — Tier 3 cognitive reasoning has no valid visual input to make safe navigation decisions. With no reliable scene awareness, continued flight poses unacceptable collision risk. Immediate controlled landing is the safest response until the camera fault is diagnosed and resolved.",
2,gpt4o,person_near,hazard,2681.5,741,87,0.00501,"Description: The image shows a person standing indoors, appearing to be within close proximity to the camera, possibly less than 1 meter away.
Sensor note: The sensor detected a wall at 0.45m, but the person was not detected. This is a discrepancy.
Proximity: The person is visually estimated to be very close, likely less than 1 meter away.
Risk: Hazard
Pilot suggested action: HOVER",
2,gpt4o,wall_close,hazard,2064.0,741,68,0.004725,"Description: The image shows a plain wall with no visible obstacles or objects in the immediate vicinity.
Sensor note: Consistent with sensor data indicating a wall at approximately 2.09 meters.
Proximity: Closest object is the wall, visually estimated at around 2 meters.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
2,gpt4o,object_table,caution,2294.1,741,76,0.004845,"Description: The image shows a laptop on a table in a room with shelves and other objects in the background. The scene appears well-lit and organized.
Sensor note: Consistent with sensor data indicating a shelf at 2.53m.
Proximity: The closest object is the laptop, approximately 1m away.
Risk: Caution
Pilot suggested action: HOVER",
2,gpt4o,dim_light,caution,2787.5,741,94,0.005115,"Description: The image is dim and grainy, making it difficult to discern specific objects clearly. There appears to be clutter at floor level, but no immediate obstacles blocking the flight path at ~1m altitude.
Sensor note: Consistent with sensor data indicating a wall at 0.42m depth.
Proximity: Closest object visually estimated at approximately 0.4m, consistent with depth_m.
Risk: Caution
Pilot suggested action: HOVER",
2,gpt4o,cluttered,caution,2382.7,741,81,0.00492,"Description: The image shows a cluttered indoor environment with objects on a table, including a box and a stapler. There is no clear path for flight at ~1m altitude.
Sensor note: Consistent with sensor data indicating a wall at 4.03m.
Proximity: Closest object visually estimated at less than 1m.
Risk: Hazard
Pilot suggested action: HOVER",
2,gpt4o,door_open,safe,2600.8,784,68,0.00494,"Description: The image shows an indoor space with tables and a partially open door, providing a clear path for navigation.
Sensor note: Consistent with sensor data; detected objects match the visual scene.
Proximity: Closest object (door) visually estimated at approximately 3 meters.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
2,gpt4o,person_far,caution,2481.1,699,79,0.00468,"Description: The image shows an indoor room with furniture and a person standing in the center. The scene is moderately cluttered, but there appears to be enough space for navigation.
Sensor note: Consistent with sensor data; no YOLO detections present.
Proximity: The person is visually estimated to be around 2 meters away.
Risk: Caution
Pilot suggested action: HOVER",
2,gpt4o,blocked_lens,hazard,2556.9,699,64,0.004455,"Description: The image appears to be heavily distorted with noise, making it difficult to discern any clear objects or features.
Sensor note: Consistent with no YOLO detections; image quality prevents reliable analysis.
Proximity: Unable to visually estimate due to image distortion.
Risk: Hazard
Pilot suggested action: HOVER",
2,gpt4o_mini,person_near,hazard,4735.0,3508,103,0.000588,"Description: The image shows a person standing in a room with various objects around, including furniture and a chair. The person appears to be within 1 meter of the drone's flight path. 

Sensor note: The YOLO detection indicates a wall at 0.45m, but the person is not detected, which suggests a potential oversight. 

Proximity: The closest object/person is the individual, estimated to be approximately 0.5m away. 

Risk: hazard  
Pilot suggested action: LAND",
2,gpt4o_mini,wall_close,hazard,4208.6,3508,75,0.000571,"Description: The image appears to show a plain, featureless wall with no visible obstacles or persons nearby. The lighting is uniform, suggesting a well-lit environment.  
Sensor note: consistent  
Proximity: The closest object is the wall, approximately 2.09m away as indicated by the depth sensor.  
Risk: safe  
Pilot suggested action: PROCEED",
2,gpt4o_mini,object_table,caution,5764.5,3508,129,0.000604,"Description: The image shows a laptop on a table with a cluttered background, including shelves and other objects. The scene appears well-lit, but there are several items in the vicinity that could pose a risk if the drone were to navigate through this area. 

Sensor note: The YOLO detection indicates a shelf at a distance of 2.53m, but the visual analysis suggests there may be additional clutter not detected by the sensors.

Proximity: The closest object appears to be the edge of the table, which is approximately 1m away from the drone's expected flight path.

Risk: caution

Pilot suggested action: HOVER",
2,gpt4o_mini,dim_light,caution,4934.6,3508,115,0.000595,"Description: The image appears dimly lit with some indistinct shapes, suggesting potential clutter in the environment. There are no clearly visible obstacles directly in the flight path, but the low visibility raises concerns about the surroundings. 

Sensor note: The YOLO detection indicates a wall at a distance of 0.42m, which is consistent with the visual analysis of the space being confined. 

Proximity: The closest object appears to be the wall detected by the sensors, at approximately 0.42m away. 

Risk: caution  
Pilot suggested action: HOVER",
2,gpt4o_mini,cluttered,caution,4023.1,3508,84,0.000577,"Description: The image shows a cluttered workspace with various objects, including a stapler and a box, but no visible people or obstacles directly in the flight path. The environment appears well-lit, allowing for clear visibility of the surroundings.

Sensor note: consistent
Proximity: The closest object appears to be approximately 0.5m away (the stapler).
Risk: caution
Pilot suggested action: HOVER",
2,gpt4o_mini,door_open,safe,5561.4,3551,118,0.000603,"Description: The image shows an indoor environment with a clear path visible, but there are some objects and structures in the vicinity that could pose a risk. The lighting appears adequate, and there are no immediate obstructions directly in the flight path at ~1m altitude. 

Sensor note: Consistent; YOLO detected a train and a window, which aligns with the visible objects in the image.

Proximity: The closest object appears to be the edge of a table or workstation, estimated to be around 1.5m away.

Risk: caution

Pilot suggested action: HOVER",
2,gpt4o_mini,person_far,caution,3615.1,3466,72,0.000563,"Description: The image shows a person standing in a room with various objects, including furniture and equipment, visible in the background. The person appears to be approximately 2-3 meters away from the camera. 

Sensor note: consistent
Proximity: Approximately 2-3 meters from the closest person.
Risk: safe
Pilot suggested action: ASCEND",
2,gpt4o_mini,blocked_lens,hazard,3585.5,3466,72,0.000563,"Description: The image appears to be a noisy, static-like pattern with no discernible objects or features. It lacks clarity and detail, making it difficult to assess the environment accurately.  
Sensor note: consistent  
Proximity: Unable to determine proximity due to lack of visual clarity; depth estimation is unreliable.  
Risk: hazard  
Pilot suggested action: LAND",
2,gemini,person_near,hazard,2336.3,969,108,0.000105,"Description: A person is standing directly in front of the drone, occupying a significant portion of the frame. The background appears to be an indoor room with some furniture and shelves.
Sensor note: YOLO detected a ""wall"" at 0.45m, which is inconsistent with the visual presence of a person directly in front of the drone. The person is the primary obstacle.
Proximity: The person is very close, visually estimated to be well within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",
2,gemini,wall_close,hazard,2071.0,969,112,0.000106,"Description: The image shows a plain, light-colored wall directly in front of the drone, filling almost the entire frame. There is a dark line at the very top, possibly a ceiling or a seam.
Sensor note: Consistent. YOLO-World detected a wall, which aligns with the visual evidence.
Proximity: The wall appears to be very close, likely within 1 meter, despite the sensor reporting 2.09m. The image is almost entirely filled by the wall.
Risk: hazard
Pilot suggested action: HOVER",
2,gemini,object_table,caution,2142.2,972,101,0.000103,"Description: The drone is facing a laptop on a table, which is the primary obstacle in the immediate flight path. The background appears to be an indoor room with shelves or cabinets.
Sensor note: The YOLO detection of 'shelf' at 2.53m is consistent with the background, but it missed the prominent laptop in the foreground.
Proximity: The laptop is very close, visually estimated to be well within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",
2,gemini,dim_light,caution,2486.2,969,141,0.000115,"Description: The image is extremely dark and noisy, making it very difficult to discern any clear objects or the flight path. There appears to be some indistinct shapes, possibly furniture or plants, but their exact nature and distance are impossible to determine.
Sensor note: The YOLO detection of ""wall"" at 0.42m is plausible given the general blur and potential for a close, indistinct surface, but the image quality makes independent verification impossible.
Proximity: Visually, it's impossible to determine proximity due to the severe image degradation. The sensor reports a wall at 0.42m, which would be very close.
Risk: hazard
Pilot suggested action: HOVER",
2,gemini,cluttered,caution,2357.6,969,148,0.000117,"Description: The image shows a cluttered desk or workbench area with various objects, including a large white panel, a cardboard box, and a white container. The drone's flight path at 1m altitude appears to be obstructed by these objects.
Sensor note: The YOLO detection of 'wall' at 4.03m is inconsistent with the visual evidence of much closer objects directly in the flight path. The 'wall' detection likely refers to the background, but fails to identify the immediate foreground obstacles.
Proximity: The closest objects, including the white panel and the white container, appear to be within 0.5m to 1m of the camera.
Risk: hazard
Pilot suggested action: HOVER",
