history_mode,sequence,frame_num,scene_label,expected_risk,model,local_ms,local_risk,detected_risk,risk_correct,change_event,change_detected,input_tokens,output_tokens,latency_ms,cost_usd,reply_snippet,error
stateless,1,4,person_near,hazard,gpt4o,31.19,hazard,hazard,1,0,-1,377,121,2967.0,0.0037,"The image shows a person standing indoors, leaning slightly forward. The environment includes furniture such as a chair ",
stateless,1,4,person_near,hazard,gpt4o_mini,31.19,hazard,caution,0,0,-1,3144,101,4814.5,0.000532,"In the image, I see a person crouching down, possibly adjusting something or preparing to move. The environment appears ",
stateless,1,4,person_near,hazard,gemini,31.19,hazard,hazard,1,0,-1,593,163,2766.6,9.3e-05,"I see a person in the foreground, slightly bent over, occupying a large portion of the frame. Their face is not clearly ",
stateless,1,5,door_open,safe,claude,16.97,safe,hazard,0,1,0,401,300,9458.2,0.005703,## Visual Analysis  **What I see:** The image shows an **indoor industrial or warehouse space** viewed through what appe,
stateless,1,5,door_open,safe,gpt4o,16.97,safe,hazard,0,1,0,316,98,3164.3,0.00305,The image shows an indoor environment with a series of tables or workstations lined up in rows. There is a glass door or,
stateless,1,5,door_open,safe,gpt4o_mini,16.97,safe,hazard,0,1,0,3083,109,4505.2,0.000528,"The image shows an indoor environment with a large open space, likely a room or hallway. There are several tables or wor",
stateless,1,5,door_open,safe,gemini,16.97,safe,hazard,0,1,0,518,300,3075.3,0.000129,"I see an indoor environment, likely an industrial or office space, characterized by a long room with a high ceiling. The",
stateless,2,1,door_open,safe,claude,40.21,safe,caution,0,0,-1,447,300,9016.9,0.005841,## Visual Analysis  ### What I See The image shows an **indoor industrial or warehouse/office space** viewed from a low ,
stateless,2,1,door_open,safe,gpt4o,40.21,safe,hazard,0,0,-1,359,121,3069.0,0.00361,The image shows an indoor environment with a series of tables or workstations lined up along the left side. There is a g,
stateless,2,1,door_open,safe,gpt4o_mini,40.21,safe,hazard,0,0,-1,3126,109,5017.6,0.000534,The image shows an indoor environment with a clear view of a corridor or room. There are glass doors and a series of tab,
stateless,2,1,door_open,safe,gemini,40.21,safe,caution,0,0,-1,568,249,3114.3,0.000117,"The drone is currently positioned in what appears to be an indoor office or industrial space, characterized by white wal",
stateless,2,2,door_open,safe,claude,39.89,safe,caution,0,0,-1,447,296,8573.0,0.005781,## Visual Analysis  **What I see:** The image shows a large **indoor industrial or warehouse space** viewed from a low a,
stateless,2,2,door_open,safe,gpt4o,39.89,safe,safe,1,0,-1,359,148,2968.5,0.004015,The image shows an indoor environment with a series of tables or workstations aligned in a row. There is a glass door or,
stateless,2,2,door_open,safe,gpt4o_mini,39.89,safe,caution,0,0,-1,3126,106,5528.3,0.000532,The image shows an indoor environment with a clear view of a corridor or room. There are glass doors and what appears to,
stateless,2,2,door_open,safe,gemini,39.89,safe,safe,1,0,-1,568,228,3178.1,0.000111,"The drone is currently positioned in what appears to be an indoor office or industrial space, characterized by white wal",
stateless,2,3,person_near,hazard,claude,39.81,hazard,caution,0,1,1,419,299,9534.8,0.005742,## Visual Analysis  **What I see:** A person standing in what appears to be an indoor workspace/warehouse environment. T,
stateless,2,3,person_near,hazard,gpt4o,39.81,hazard,hazard,1,1,1,333,104,2855.8,0.003225,"The image shows a person standing indoors, with their arms raised. The environment appears to be a room with various obj",
stateless,2,3,person_near,hazard,gpt4o_mini,39.81,hazard,caution,0,1,1,3100,97,3787.1,0.000523,"In the image, I see a person standing in an indoor environment. The background appears to have various objects, includin",
stateless,2,3,person_near,hazard,gemini,39.81,hazard,hazard,1,1,1,540,174,5273.7,9.3e-05,"I see a person standing directly in front of the drone, facing it. The person's arms are raised, bent at the elbows, wit",
stateless,2,4,person_near,hazard,claude,40.22,hazard,caution,0,0,-1,419,300,9481.7,0.005757,## Visual Analysis  **What I see:** A person standing in what appears to be an indoor workshop or storage room. The indi,
stateless,2,4,person_near,hazard,gpt4o,40.22,hazard,hazard,1,0,-1,333,98,2969.1,0.003135,"The image shows a person standing indoors, with their arms raised. The environment appears to be a room with various obj",
stateless,2,4,person_near,hazard,gpt4o_mini,40.22,hazard,caution,0,0,-1,3100,97,4360.2,0.000523,"In the image, I see a person standing in an indoor environment. The background appears to have various objects, includin",
stateless,2,4,person_near,hazard,gemini,40.22,hazard,hazard,1,0,-1,540,174,2060.9,9.3e-05,"I see a person standing directly in front of the drone, facing it. The person's arms are raised, bent at the elbows, wit",
stateless,2,5,door_open,safe,claude,40.65,safe,hazard,0,1,0,447,300,9560.4,0.005841,## Visual Analysis  ### What I See The image shows an **indoor industrial or warehouse-like space** — appears to be a la,
stateless,2,5,door_open,safe,gpt4o,40.65,safe,hazard,0,1,0,359,143,3480.6,0.00394,The image shows an indoor environment with a series of tables or workstations lined up along the left side. There is a g,
stateless,2,5,door_open,safe,gpt4o_mini,40.65,safe,hazard,0,1,0,3126,113,4617.8,0.000537,The image shows an indoor environment with a clear view of a corridor or room. There are glass doors and what appears to,
stateless,2,5,door_open,safe,gemini,40.65,safe,caution,0,1,0,568,249,3277.6,0.000117,"The drone is currently positioned in what appears to be an indoor office or industrial space, characterized by white wal",
stateless,3,1,door_open,safe,claude,41.64,safe,hazard,0,0,-1,401,300,8810.9,0.005703,## Visual Analysis  **What I see:** The image shows an **indoor industrial or warehouse-like space** viewed from a low a,
stateless,3,1,door_open,safe,gpt4o,41.64,safe,safe,1,0,-1,316,113,2957.8,0.003275,The image shows an indoor environment with several tables or workstations lined up. There is a glass partition or door o,
stateless,3,1,door_open,safe,gpt4o_mini,41.64,safe,caution,0,0,-1,3083,162,6246.1,0.00056,"In the image, I see an indoor environment with a series of tables or workstations arranged in a row. The area appears to",
stateless,3,1,door_open,safe,gemini,41.64,safe,caution,0,0,-1,519,160,2972.3,8.7e-05,"The image shows an indoor environment, likely an office or workshop, characterized by white walls and a ceiling with vis",
stateless,3,2,door_open,safe,claude,37.96,safe,hazard,0,0,-1,401,299,9745.3,0.005688,## Visual Analysis  **What I see:** The image shows an **industrial or warehouse interior** viewed from a low altitude (,
stateless,3,2,door_open,safe,gpt4o,37.96,safe,safe,1,0,-1,316,98,3065.8,0.00305,The image shows an indoor environment with several tables or workstations lined up. There is a glass partition or door o,
stateless,3,2,door_open,safe,gpt4o_mini,37.96,safe,hazard,0,0,-1,3083,136,5840.4,0.000544,"In the image, I see an indoor environment with a series of tables or workstations arranged in a row. The area appears to",
stateless,3,2,door_open,safe,gemini,37.96,safe,caution,0,0,-1,519,160,2461.2,8.7e-05,"The image shows an indoor environment, likely an office or workshop, characterized by white walls and a ceiling with vis",
stateless,3,3,person_near,hazard,claude,30.59,hazard,hazard,1,1,1,465,300,9435.1,0.005895,"## Visual Analysis  **What I see:** A person is clearly visible in the center-foreground of the frame, leaning forward i",
stateless,3,3,person_near,hazard,gpt4o,30.59,hazard,caution,0,1,1,376,120,3502.7,0.00368,"The image shows a person standing indoors, facing the camera. The environment appears to be a room with furniture, inclu",
stateless,3,3,person_near,hazard,gpt4o_mini,30.59,hazard,caution,0,1,1,3143,91,3969.9,0.000526,"In the image, I see a person standing in a room. The individual appears to be bending forward slightly. The environment ",
stateless,3,3,person_near,hazard,gemini,30.59,hazard,hazard,1,1,1,590,185,3261.7,0.0001,"The image shows a person standing in the center, facing the camera, with their body slightly bent forward. The person ap",
stateless,3,4,person_near,hazard,claude,29.66,hazard,hazard,1,0,-1,465,300,9259.1,0.005895,"## Visual Analysis  **What I see:** A person is **leaning forward aggressively toward the camera** (i.e., toward the dro",
stateless,3,4,person_near,hazard,gpt4o,29.66,hazard,hazard,1,0,-1,376,117,2966.4,0.003635,"The image shows a person standing indoors, facing the camera. The environment appears to be a room with furniture, inclu",
stateless,3,4,person_near,hazard,gpt4o_mini,29.66,hazard,caution,0,0,-1,3143,111,4426.8,0.000538,"In the image, I see a person standing in a room. The individual appears to be leaning forward slightly, and there are va",
stateless,3,4,person_near,hazard,gemini,29.66,hazard,hazard,1,0,-1,590,185,2685.3,0.0001,"The image shows a person standing in the center, facing the camera, with their body slightly bent forward. The person ap",
stateless,3,5,door_open,safe,claude,30.15,safe,hazard,0,1,0,401,299,9600.8,0.005688,## Visual Analysis  **What I see:** The image shows an **industrial or warehouse interior** viewed from a low angle (~1m,
stateless,3,5,door_open,safe,gpt4o,30.15,safe,hazard,0,1,0,316,121,3786.0,0.003395,The image shows an indoor environment with several tables or workstations lined up. There is a glass door or partition o,
stateless,3,5,door_open,safe,gpt4o_mini,30.15,safe,hazard,0,1,0,3083,139,5040.2,0.000546,"In the image, I see an indoor environment with a series of tables or workstations arranged in a row. The area appears to",
stateless,3,5,door_open,safe,gemini,30.15,safe,caution,0,1,0,519,160,2540.9,8.7e-05,"The image shows an indoor environment, likely an office or workshop, characterized by white walls and a ceiling with vis",
stateless,4,1,door_open,safe,claude,37.15,safe,hazard,0,0,-1,399,300,9120.8,0.005697,## Scene Description  The image shows an **industrial or warehouse interior** viewed from a low altitude (~1m). Key obse,
stateless,4,1,door_open,safe,gpt4o,37.15,safe,hazard,0,0,-1,315,136,2966.7,0.003615,The image shows an indoor environment with a series of tables or workstations lined up along the left side. There is a g,
stateless,4,1,door_open,safe,gpt4o_mini,37.15,safe,hazard,0,0,-1,3082,116,7778.2,0.000532,"The image shows an indoor environment with a long, narrow space. There are several tables or workstations lined up on on",
stateless,4,1,door_open,safe,gemini,37.15,safe,caution,0,0,-1,517,300,4311.4,0.000129,"The image shows an indoor environment, likely an office or industrial space, characterized by white walls and a ceiling ",
stateless,4,2,door_open,safe,claude,27.87,safe,hazard,0,0,-1,399,300,9754.1,0.005697,## Image Analysis  ### What I See The image shows an **industrial or warehouse interior** viewed from a low angle (~1m a,
stateless,4,2,door_open,safe,gpt4o,27.87,safe,hazard,0,0,-1,315,120,3170.7,0.003375,The image shows an indoor environment with a series of tables or workbenches lined up along the left side. There is a la,
stateless,4,2,door_open,safe,gpt4o_mini,27.87,safe,safe,1,0,-1,3082,134,5222.7,0.000543,"In the image, I see an indoor environment with a series of tables or workstations arranged in a row. There are large, op",
stateless,4,2,door_open,safe,gemini,27.87,safe,caution,0,0,-1,517,300,2867.2,0.000129,"The image shows an indoor environment, likely an office or industrial space, characterized by white walls and a ceiling ",
stateless,4,3,person_near,hazard,claude,30.15,hazard,caution,0,1,1,478,300,9747.2,0.005934,"## Visual Analysis  **What I see:** A person (adult male) standing approximately **2–4 meters away**, centered in the fr",
stateless,4,3,person_near,hazard,gpt4o,30.15,hazard,caution,0,1,1,385,133,2967.0,0.00392,"The image shows an indoor environment with a person standing in the center. There are various objects around, including ",
stateless,4,3,person_near,hazard,gpt4o_mini,30.15,hazard,caution,0,1,1,3152,128,5837.9,0.00055,"In the image, I see a person standing in an indoor environment. The background includes some furniture, possibly a chair",
stateless,4,3,person_near,hazard,gemini,30.15,hazard,hazard,1,1,1,602,250,4201.9,0.00012,"I see a person standing in the center of the frame, facing the camera. They appear to be wearing a dark t-shirt and trou",
stateless,4,4,person_near,hazard,claude,39.15,hazard,hazard,1,0,-1,478,300,9182.2,0.005934,## Visual Analysis  **What I see:** A person standing approximately **2–3 meters away** in what appears to be an **indoo,
stateless,4,4,person_near,hazard,gpt4o,39.15,hazard,caution,0,0,-1,385,131,3519.0,0.00389,"The image shows an indoor environment with a person standing in the center. There are various objects around, including ",
stateless,4,4,person_near,hazard,gpt4o_mini,39.15,hazard,caution,0,0,-1,3152,128,4988.9,0.00055,"In the image, I see a person standing in an indoor environment. The background includes some furniture, possibly a chair",
stateless,4,4,person_near,hazard,gemini,39.15,hazard,hazard,1,0,-1,602,199,4947.4,0.000105,"I see a person standing in the center of the frame, facing the camera. They appear to be relatively close, occupying a s",
stateless,4,5,door_open,safe,claude,28.8,safe,hazard,0,1,0,399,300,9443.9,0.005697,## Image Analysis  ### What I See The camera appears to be looking **upward at an angle** from a low altitude (~1m) insi,
stateless,4,5,door_open,safe,gpt4o,28.8,safe,safe,1,1,1,315,114,3602.5,0.003285,The image shows an indoor environment with a series of tables or workstations lined up along the left side. There is a g,
stateless,4,5,door_open,safe,gpt4o_mini,28.8,safe,hazard,0,1,0,3082,116,5277.0,0.000532,"The image shows an indoor environment with a long, narrow space. There are several tables or workstations lined up on on",
stateless,4,5,door_open,safe,gemini,28.8,safe,caution,0,1,0,517,300,3205.3,0.000129,"The image shows an indoor environment, likely an office or industrial space, characterized by white walls and a ceiling ",
stateless,5,1,door_open,safe,claude,42.41,safe,hazard,0,0,-1,401,300,10238.8,0.005703,## Visual Analysis  **What I see:** The image shows an **indoor industrial/warehouse space** viewed through what appears,
stateless,5,1,door_open,safe,gpt4o,42.41,safe,safe,1,0,-1,316,87,3478.9,0.002885,The image shows an indoor environment with a series of tables or desks arranged in rows. There is a glass door that appe,
stateless,5,1,door_open,safe,gpt4o_mini,42.41,safe,hazard,0,0,-1,3083,117,5119.0,0.000533,The image shows an indoor environment with a clear view of an open doorway leading into a room that appears to have seve,
stateless,5,1,door_open,safe,gemini,42.41,safe,caution,0,0,-1,518,300,3285.0,0.000129,"I see an indoor environment, likely an industrial or office space, characterized by white walls and ceilings, and what a",
stateless,5,2,door_open,safe,claude,27.93,safe,hazard,0,0,-1,401,300,9862.0,0.005703,## Visual Analysis  **What I see:** The image shows an **industrial interior space** — likely a warehouse or factory flo,
stateless,5,2,door_open,safe,gpt4o,27.93,safe,safe,1,0,-1,316,95,3368.4,0.003005,The image shows an indoor environment with a series of tables or workstations lined up in rows. There is a glass door th,
stateless,5,2,door_open,safe,gpt4o_mini,27.93,safe,hazard,0,0,-1,3083,134,5143.6,0.000543,"The image shows an indoor environment with a large open space, likely a room or hallway. There are several tables or wor",
stateless,5,2,door_open,safe,gemini,27.93,safe,caution,0,0,-1,518,300,4895.2,0.000129,"I see an indoor environment, likely an industrial or office space, characterized by white walls and ceilings, and what a",
stateless,5,3,person_near,hazard,claude,38.55,hazard,hazard,1,1,1,467,296,9496.6,0.005841,"## Visual Analysis  **What I see:** A person is standing/leaning **very close to the camera** (drone), occupying the maj",
stateless,5,3,person_near,hazard,gpt4o,38.55,hazard,hazard,1,1,1,377,102,2904.1,0.003415,"The image shows a person standing indoors, leaning slightly forward. The environment includes furniture such as a chair ",
stateless,5,3,person_near,hazard,gpt4o_mini,38.55,hazard,caution,0,1,1,3144,101,4198.2,0.000532,"In the image, I see a person crouching down, possibly adjusting something or preparing to move. The environment appears ",
stateless,5,3,person_near,hazard,gemini,38.55,hazard,hazard,1,1,1,593,160,3765.0,9.2e-05,"I see a person in the foreground, slightly bent over, occupying a large portion of the frame. Their face is not clearly ",
stateless,5,4,person_near,hazard,claude,23.93,hazard,hazard,1,0,-1,467,300,10176.2,0.005901,"## Visual Analysis  **What I see:** A person is standing/leaning very close to the camera (drone), appearing large in fr",
stateless,5,4,person_near,hazard,gpt4o,23.93,hazard,hazard,1,0,-1,377,96,2992.9,0.003325,"The image shows a person standing indoors, leaning slightly forward. The environment includes furniture such as a chair ",
stateless,5,4,person_near,hazard,gpt4o_mini,23.93,hazard,caution,0,0,-1,3144,133,7347.1,0.000551,"In the image, I see a person crouching down in a room. The environment appears to have a few objects, including a chair ",
stateless,5,4,person_near,hazard,gemini,23.93,hazard,hazard,1,0,-1,593,163,2768.6,9.3e-05,"I see a person in the foreground, slightly bent over, occupying a large portion of the frame. Their face is not clearly ",
stateless,5,5,door_open,safe,claude,38.44,safe,caution,0,1,0,401,300,9222.8,0.005703,## Visual Analysis  **What I see:** The image shows an **industrial interior space** — appears to be a warehouse or fact,
stateless,5,5,door_open,safe,gpt4o,38.44,safe,safe,1,1,1,316,79,2441.6,0.002765,The image shows an indoor environment with a series of tables or desks arranged in rows. There is a glass door that appe,
stateless,5,5,door_open,safe,gpt4o_mini,38.44,safe,hazard,0,1,0,3083,119,5120.2,0.000534,"The image shows an indoor environment with a wide-open space. There are several tables or workstations arranged in rows,",
stateless,5,5,door_open,safe,gemini,38.44,safe,caution,0,1,0,518,300,3281.9,0.000129,"I see an indoor environment, likely an industrial or office space, characterized by white walls and ceilings, and what a",
short,1,1,door_open,safe,claude,30.8,safe,hazard,0,0,-1,401,300,10158.7,0.005703,## Visual Analysis  **What I see:** The image shows an **indoor industrial or warehouse space** viewed from a low altitu,
short,1,1,door_open,safe,gpt4o,30.8,safe,safe,1,0,-1,316,85,2714.9,0.002855,The image shows an indoor environment with a series of tables or desks arranged in rows. There is a glass door that appe,
short,1,1,door_open,safe,gpt4o_mini,30.8,safe,caution,0,0,-1,3083,94,4247.4,0.000519,The image shows an indoor environment with a clear view of an open doorway leading into a room that appears to have seve,
short,1,1,door_open,safe,gemini,30.8,safe,hazard,0,0,-1,518,300,3177.4,0.000129,"I see an indoor environment, likely an industrial or office space, characterized by a long room with a high ceiling. The",
short,1,2,door_open,safe,claude,37.38,safe,hazard,0,0,-1,433,294,9410.0,0.005709,## Visual Analysis  **What I see:** The image shows an **indoor industrial/warehouse space** viewed through what appears,
short,1,2,door_open,safe,gpt4o,37.38,safe,hazard,0,0,-1,341,81,2866.7,0.00292,The image shows an indoor environment with tables or desks arranged in rows. There is a glass door that appears to be op,
short,1,2,door_open,safe,gpt4o_mini,37.38,safe,caution,0,0,-1,3111,90,4505.5,0.000521,The image shows an indoor environment with an open doorway leading into a space that appears to have several tables or w,
short,1,2,door_open,safe,gemini,37.38,safe,caution,0,0,-1,544,149,2462.5,8.5e-05,"I see an indoor environment, likely an industrial or office space, characterized by white-framed glass partitions or doo",
short,1,3,person_near,hazard,claude,30.65,hazard,hazard,1,1,1,528,300,9118.5,0.006084,## Visual Analysis  **What I see:** The image shows an **indoor environment** (appears to be a store or warehouse) with ,
short,1,3,person_near,hazard,gpt4o,30.65,hazard,hazard,1,1,1,426,102,3374.9,0.00366,"The image shows a person standing very close to the camera, which suggests proximity to the drone. The environment appea",
short,1,3,person_near,hazard,gpt4o_mini,30.65,hazard,caution,0,1,1,3195,92,4608.0,0.000534,"In the current image, I see a person crouching down in an indoor environment. The background includes a chair and some f",
short,1,3,person_near,hazard,gemini,30.65,hazard,hazard,1,1,1,641,132,4202.4,8.8e-05,"I see a person in the immediate foreground, very close to the camera, bending over. The person's body occupies a signifi",
short,1,4,person_near,hazard,claude,29.84,hazard,hazard,1,0,-1,529,300,9321.7,0.006087,"## Visual Analysis  **What I see:** The image shows an **indoor environment** — appears to be a warehouse, workshop, or ",
short,1,4,person_near,hazard,gpt4o,29.84,hazard,hazard,1,0,-1,429,88,2762.3,0.003465,"The image shows a person standing very close to the camera, which suggests proximity to the drone. The environment appea",
short,1,4,person_near,hazard,gpt4o_mini,29.84,hazard,caution,0,0,-1,3197,92,4812.7,0.000535,"In the current image, I see a person crouching down in an indoor environment. The surroundings include a chair and some ",
short,1,4,person_near,hazard,gemini,29.84,hazard,hazard,1,0,-1,644,89,2155.9,7.5e-05,"I see a person in the immediate foreground, very close to the camera, bending over. The person's body fills a significan",
short,1,5,door_open,safe,claude,30.87,safe,hazard,0,1,0,463,300,8986.0,0.005889,## Visual Analysis  **What I see:** The image shows a **large indoor industrial/warehouse space** viewed through what ap,
short,1,5,door_open,safe,gpt4o,30.87,safe,hazard,0,1,0,369,105,3346.9,0.00342,The image shows an indoor environment with a series of tables or desks lined up in rows. There is a glass door that is p,
short,1,5,door_open,safe,gpt4o_mini,30.87,safe,safe,1,1,1,3140,90,4880.8,0.000525,"In the current image, I see an indoor environment with several tables or workstations arranged in a row. The area appear",
short,1,5,door_open,safe,gemini,30.87,safe,safe,1,1,1,572,127,2460.8,8.1e-05,The previous frames indicated a person in the immediate foreground. This frame shows a significant scene change. The dro,
short,2,1,door_open,safe,claude,30.03,safe,hazard,0,0,-1,447,300,9136.8,0.005841,## Visual Analysis  ### What I See The image shows an **indoor industrial or warehouse/office space** viewed from a low ,
short,2,1,door_open,safe,gpt4o,30.03,safe,hazard,0,0,-1,359,150,4398.6,0.004045,The image shows an indoor environment with a series of tables or workstations lined up along the left side. There is a g,
short,2,1,door_open,safe,gpt4o_mini,30.03,safe,hazard,0,0,-1,3126,116,5251.1,0.000538,The image shows an indoor environment with a clear view of a corridor or room. There are glass doors and a series of tab,
short,2,1,door_open,safe,gemini,30.03,safe,caution,0,0,-1,568,249,3195.7,0.000117,"The drone is currently positioned in what appears to be an indoor office or industrial space, characterized by white wal",
short,2,2,door_open,safe,claude,29.4,safe,hazard,0,0,-1,478,300,8397.0,0.005934,## Visual Analysis  ### What I See The image shows an **indoor industrial or warehouse-like space** viewed from a low an,
short,2,2,door_open,safe,gpt4o,29.4,safe,caution,0,0,-1,386,113,3250.1,0.003625,The image shows an indoor environment with a series of tables or workstations lined up. There is a glass door that is pa,
short,2,2,door_open,safe,gpt4o_mini,29.4,safe,hazard,0,0,-1,3155,86,5324.7,0.000525,The image shows an indoor environment with a corridor or room that appears to be empty. There are no visible obstacles o,
short,2,2,door_open,safe,gemini,29.4,safe,caution,0,0,-1,595,186,2258.2,0.0001,"The drone is in an indoor environment, likely an office or industrial space, as suggested by the previous frame. The cur",
short,2,3,person_near,hazard,claude,27.98,hazard,hazard,1,1,1,477,296,9667.4,0.005871,## Visual Analysis  ### What I See An **indoor workspace/warehouse** environment with: - **A person standing directly in,
short,2,3,person_near,hazard,gpt4o,27.98,hazard,hazard,1,1,1,384,114,3966.4,0.00363,"The image shows an indoor environment with a person standing in the center. The person is close to the camera, which ali",
short,2,3,person_near,hazard,gpt4o_mini,27.98,hazard,caution,0,1,1,3153,108,4811.8,0.000538,"The image shows an indoor environment with a person standing in the center, appearing to be in a room or corridor. The p",
short,2,3,person_near,hazard,gemini,27.98,hazard,hazard,1,1,1,592,82,1644.0,6.9e-05,"The drone is in an indoor environment. A person is directly in front of the drone, facing it, with their arms raised. Th",
short,2,4,person_near,hazard,claude,40.01,hazard,hazard,1,0,-1,476,288,8808.6,0.005748,## Visual Analysis  ### What I See An **indoor warehouse/workshop** environment with: - A **person standing centrally** ,
short,2,4,person_near,hazard,gpt4o,40.01,hazard,hazard,1,0,-1,384,86,3171.7,0.00321,"The image shows an indoor environment with a person standing in the center, raising their arms. There are various object",
short,2,4,person_near,hazard,gpt4o_mini,40.01,hazard,caution,0,0,-1,3151,78,3585.8,0.000519,The image shows an indoor environment with a person standing in the center. The surroundings appear to be a room or corr,
short,2,4,person_near,hazard,gemini,40.01,hazard,hazard,1,0,-1,594,141,1950.5,8.7e-05,"The image shows a person standing directly in front of the drone, facing the camera. The person's arms are raised, possi",
short,2,5,door_open,safe,claude,30.41,safe,hazard,0,1,0,504,300,9535.7,0.006012,## Visual Analysis  ### What I See An **indoor warehouse/industrial facility** viewed from a low angle (~1m altitude). T,
short,2,5,door_open,safe,gpt4o,30.41,safe,hazard,0,1,0,410,79,3471.9,0.003235,The image shows an indoor environment with a series of tables or workstations lined up. There is a glass door or partiti,
short,2,5,door_open,safe,gpt4o_mini,30.41,safe,hazard,0,1,0,3177,97,4408.2,0.000535,The image shows an indoor environment with a clear view of a room that appears to have several tables or workstations ar,
short,2,5,door_open,safe,gemini,30.41,safe,safe,1,1,1,621,123,2360.2,8.3e-05,"The drone is in an indoor environment, likely an office or industrial space, characterized by white walls, a ceiling wit",
short,3,1,door_open,safe,claude,29.03,safe,caution,0,0,-1,401,284,8715.4,0.005463,## Visual Analysis  **What I see:** The image shows a large **industrial/warehouse interior** viewed from a low altitude,
short,3,1,door_open,safe,gpt4o,29.03,safe,safe,1,0,-1,316,60,2408.1,0.00248,The image shows an indoor environment with several tables or workstations lined up. There is a large window or glass par,
short,3,1,door_open,safe,gpt4o_mini,29.03,safe,hazard,0,0,-1,3083,111,4660.2,0.000529,The image shows an indoor environment with a series of tables or workstations arranged in a row. There are glass walls o,
short,3,1,door_open,safe,gemini,29.03,safe,caution,0,0,-1,519,160,2254.7,8.7e-05,"The image shows an indoor environment, likely an office or workshop, characterized by white walls and a ceiling with vis",
short,3,2,door_open,safe,claude,38.39,safe,hazard,0,0,-1,434,300,10245.4,0.005802,## Visual Analysis  **What I see:** The image shows a large **industrial/warehouse interior** photographed from a low an,
short,3,2,door_open,safe,gpt4o,38.39,safe,hazard,0,0,-1,340,102,3279.7,0.00323,The image shows an indoor environment with several tables or workstations lined up. There is a glass partition or door v,
short,3,2,door_open,safe,gpt4o_mini,38.39,safe,hazard,0,0,-1,3110,76,3699.9,0.000512,The image shows an indoor environment with a series of tables or workstations arranged in a row. The area appears to be ,
short,3,2,door_open,safe,gemini,38.39,safe,caution,0,0,-1,546,147,2166.1,8.5e-05,"The image shows an indoor environment, likely an office or workshop, characterized by white walls and a ceiling with vis",
short,3,3,person_near,hazard,claude,31.41,hazard,hazard,1,1,1,527,300,8998.5,0.006081,## Visual Analysis  **What I see:** A person in an indoor warehouse/workshop environment who appears to be in a **dynami,
short,3,3,person_near,hazard,gpt4o,31.41,hazard,hazard,1,1,1,422,82,2765.6,0.00334,"The image shows an indoor environment with a person standing close to the camera, bending forward. The person appears to",
short,3,3,person_near,hazard,gpt4o_mini,31.41,hazard,hazard,1,1,1,3194,97,4809.5,0.000537,"In the current image, I see a person bending forward in an indoor environment. The background includes what appears to b",
short,3,3,person_near,hazard,gemini,31.41,hazard,hazard,1,1,1,640,141,2460.9,9e-05,The image shows a person standing in what appears to be an indoor workshop or office environment. The person is in the c,
