model,scene_label,truth,run,load_ms,local_ms,local_risk,yolo_ms,llm_ms,total_ms,yolo_objects,yolo_type,clip_label,clip_risk,clip_conf,detected_risk,risk_correct,quality_score,input_tokens,output_tokens,cost_usd,reply,error
gpt4o_mini,person_near,hazard,3,0.52,28.04,hazard,263.78,3786.4,4078.7,0,yolo-world,disabled,disabled,0.0,hazard,1,5,3556,89,0.000587,"Description: The image shows a person standing in a room with various objects in the background, including furniture. The person appears to be relatively close to the drone's flight path. 
Sensor note: Consistent with local detector indicating a person detected at approximately 0.24m.
Proximity: The closest object/person is the detected person, estimated at about 0.24m away.
Risk: hazard
Pilot suggested action: HOVER",
gemini,person_near,hazard,3,0.52,28.04,hazard,263.78,2156.4,2448.7,0,yolo-world,disabled,disabled,0.0,hazard,1,5,1026,123,0.000114,"Description: A person is standing directly in front of the drone, occupying the majority of the frame. The background appears to be an indoor room with some furniture and shelves.
Sensor note: The local detector correctly identified a person, but its estimated distance of 0.24m is too close given the visual evidence. YOLO-World detected a ""wall"" at 0.45m, which is inconsistent with the prominent person in the foreground.
Proximity: The person is visually very close, estimated to be well within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",
claude,person_near,hazard,4,0.51,41.32,hazard,262.03,5841.4,6145.3,0,yolo-world,disabled,disabled,0.0,hazard,1,5,974,178,0.005592,"Description: A person is standing directly in front of the drone with both arms raised, appearing to be in close proximity within what looks like a workshop or storage room with shelving and equipment in the background.
Sensor note: The local detector estimates person at 0.24m which seems like an underestimate based on visual appearance, but the person is clearly within 1-2m range; the wall detection at 0.45m is consistent with the cluttered background visible behind the person.
Proximity: Person appears approximately 1.5–2.5m away visually, though sensor est_dist=0.24m (geometric fallback, lower trust); treating visual estimate as primary — still within hazard-caution boundary given raised arms extending toward camera.
Risk: hazard
Pilot suggested action: HOVER",
gpt4o,person_near,hazard,4,0.51,41.32,hazard,262.03,2453.2,2757.1,0,yolo-world,disabled,disabled,0.0,hazard,1,5,789,80,0.005145,"Description: The image shows a person standing indoors, with various objects and furniture around. The person appears to be close to the camera.
Sensor note: The local detector's estimation of the person being 0.24m away is consistent with the visual analysis.
Proximity: The person is visually estimated to be less than 1 meter away.
Risk: Hazard
Pilot suggested action: HOVER",
gpt4o_mini,person_near,hazard,4,0.51,41.32,hazard,262.03,4198.4,4502.3,0,yolo-world,disabled,disabled,0.0,hazard,1,5,3556,94,0.00059,"Description: The image shows a person standing in a room with various objects in the background, including furniture. The person appears to be relatively close to the drone's flight path. 

Sensor note: The local detector indicates a person detected at 0.24m, which is consistent with my visual analysis. 

Proximity: The closest object/person is approximately 0.24m away. 

Risk: hazard  
Pilot suggested action: STOP IMMEDIATELY",
gemini,person_near,hazard,4,0.51,41.32,hazard,262.03,1744.3,2048.2,0,yolo-world,disabled,disabled,0.0,hazard,1,5,1026,124,0.000114,"Description: A person is standing directly in front of the drone, occupying the majority of the frame. The background appears to be an indoor room with some furniture and shelves.
Sensor note: The local detector correctly identified a person, but its estimated distance of 0.24m is too close given the visual evidence. YOLO-World detected a ""wall"" at 0.45m, which is inconsistent with the primary object being a person.
Proximity: The person is visually very close, estimated to be less than 1 meter away.
Risk: hazard
Pilot suggested action: HOVER",
claude,person_near,hazard,5,0.58,29.22,hazard,260.26,5842.8,6132.9,0,yolo-world,disabled,disabled,0.0,hazard,1,5,974,174,0.005532,"Description: A person is standing directly in front of the camera at close range in what appears to be an indoor workspace/warehouse, with their arms raised, occupying a large portion of the frame and clearly within the drone's immediate flight path.
Sensor note: The local detector estimates 0.24m which is a geometric heuristic fallback — visually the person appears closer than 1m but likely 1–2m given frame coverage; the wall detection at 0.45m is likely a background misread. Overall broadly consistent with a close-person scenario.
Proximity: Person is the closest object, visually estimated at approximately 1–2m directly ahead, well within the hazard threshold for a ~1m altitude flight path.
Risk: hazard
Pilot suggested action: HOVER",
gpt4o,person_near,hazard,5,0.58,29.22,hazard,260.26,2160.5,2450.6,0,yolo-world,disabled,disabled,0.0,hazard,1,5,789,80,0.005145,"Description: The image shows a person standing indoors, with various objects and furniture around. The person appears to be close to the camera.
Sensor note: The local detector's estimation of the person being 0.24m away is consistent with the visual analysis.
Proximity: The person is visually estimated to be less than 1 meter away.
Risk: Hazard
Pilot suggested action: HOVER",
gpt4o_mini,person_near,hazard,5,0.58,29.22,hazard,260.26,3627.2,3917.3,0,yolo-world,disabled,disabled,0.0,hazard,1,5,3556,86,0.000585,"Description: The image shows a person standing in a room with various objects around, including furniture. The person appears to be relatively close to the drone's flight path. 
Sensor note: The local detector indicates a person detected at 0.24m, which is consistent with my visual analysis.
Proximity: The closest object/person is approximately 0.24m away.
Risk: hazard
Pilot suggested action: HOVER",
gemini,person_near,hazard,5,0.58,29.22,hazard,260.26,2212.6,2502.7,0,yolo-world,disabled,disabled,0.0,hazard,1,5,1026,124,0.000114,"Description: A person is standing directly in front of the drone, occupying the majority of the frame. The background appears to be an indoor room with some furniture and shelves.
Sensor note: The local detector correctly identified a person, but its estimated distance of 0.24m is too close given the visual evidence. YOLO-World detected a ""wall"" at 0.45m, which is inconsistent with the primary object being a person.
Proximity: The person is visually very close, estimated to be less than 1 meter away.
Risk: hazard
Pilot suggested action: HOVER",
claude,wall_close,hazard,1,0.56,35.97,hazard,276.65,5626.1,5939.3,0,yolo-world,disabled,disabled,0.0,safe,0,4,956,138,0.004938,"Description: The image shows a nearly featureless, evenly lit light grey/white wall or ceiling surface with no visible obstacles, persons, or clutter in the flight path at approximately 1m altitude.
Sensor note: Consistent — YOLO-World detected a wall at 2.09m, which aligns with the large uniform surface visible; no discrepancies noted.
Proximity: Closest object is the wall, visually estimated at ~2m, consistent with depth_m=2.09m from DepthAnything v2.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
gpt4o,wall_close,hazard,1,0.56,35.97,hazard,276.65,2250.7,2563.9,0,yolo-world,disabled,disabled,0.0,safe,0,4,772,69,0.004895,"Description: The image shows a blank wall with no visible obstacles or objects in the immediate vicinity.
Sensor note: Consistent with YOLO detection of a wall at approximately 2.09 meters.
Proximity: Closest object is the wall, visually estimated at around 2 meters.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
gpt4o_mini,wall_close,hazard,1,0.56,35.97,hazard,276.65,3379.2,3692.4,0,yolo-world,disabled,disabled,0.0,safe,0,4,3539,77,0.000577,"Description: The image appears to show a plain, featureless wall with no visible obstacles or persons nearby. The surface is well-lit, indicating a clear environment.  
Sensor note: consistent  
Proximity: The closest object (the wall) is approximately 2.09m away, as indicated by the depth_m value.  
Risk: safe  
Pilot suggested action: ASCEND",
gemini,wall_close,hazard,1,0.56,35.97,hazard,276.65,2307.1,2620.3,0,yolo-world,disabled,disabled,0.0,hazard,1,5,1005,141,0.000118,"Description: The image shows a uniformly light grey surface, likely a wall, filling the entire frame. There are no discernible features or objects.
Sensor note: Consistent. YOLO-World detected a wall, which aligns with the visual evidence.
Proximity: Visually, the wall appears to be very close, filling the entire field of view. The depth_m of 2.09m seems inconsistent with the visual evidence of the wall filling the frame, suggesting it might be closer than reported or the drone is facing a very large, close wall. Given the lack of other features, I estimate it to be within 1m.
Risk: hazard
Pilot suggested action: HOVER",
claude,wall_close,hazard,2,0.46,29.98,hazard,276.3,5274.8,5581.5,0,yolo-world,disabled,disabled,0.0,safe,0,4,956,148,0.005088,"Description: The image shows a plain, uniformly lit interior wall with no visible obstacles, persons, or clutter in the flight path at ~1m altitude. The scene is open and unobstructed.

Sensor note: Consistent — YOLO-World detected a wall at 2.09m depth, which aligns with the visible flat wall surface filling the frame; no unexpected discrepancies.

Proximity: Closest object is the wall, visually estimated at approximately 2m, consistent with the DepthAnything v2 reading of 2.09m — no immediate collision risk.

Risk: safe

Pilot suggested action: PITCH_FORWARD",
gpt4o,wall_close,hazard,2,0.46,29.98,hazard,276.3,2352.3,2659.0,0,yolo-world,disabled,disabled,0.0,safe,0,4,772,69,0.004895,"Description: The image shows a blank wall with no visible obstacles or objects in the immediate vicinity.
Sensor note: Consistent with YOLO detection of a wall at approximately 2.09 meters.
Proximity: Closest object is the wall, visually estimated at around 2 meters.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
gpt4o_mini,wall_close,hazard,2,0.46,29.98,hazard,276.3,2948.4,3255.1,0,yolo-world,disabled,disabled,0.0,safe,0,4,3539,72,0.000574,"Description: The image appears to show a plain, featureless wall with no visible obstacles or persons nearby. The surface is well-lit, indicating a clear environment.  
Sensor note: consistent  
Proximity: The closest object is the wall, approximately 2.09m away based on depth_m.  
Risk: safe  
Pilot suggested action: ASCEND",
gemini,wall_close,hazard,2,0.46,29.98,hazard,276.3,2175.0,2481.7,0,yolo-world,disabled,disabled,0.0,hazard,1,5,1005,110,0.000108,"Description: The image shows a uniformly light grey surface, likely a wall, filling the entire frame. There are no discernible features or objects.
Sensor note: Consistent. YOLO-World detected a wall, which aligns with the visual evidence.
Proximity: Visually, the wall appears to be very close, filling the entire field of view. The depth_m of 2.09m seems plausible for a wall filling the frame, but it feels closer than 2m.
Risk: hazard
Pilot suggested action: HOVER",
claude,wall_close,hazard,3,0.57,38.32,hazard,277.84,5168.9,5485.6,0,yolo-world,disabled,disabled,0.0,safe,0,4,956,155,0.005193,"Description: The image shows a plain, nearly featureless light-grey wall filling most of the frame, with a thin dark strip visible at the top edge suggesting a ceiling/wall junction; the flight path at ~1m altitude appears unobstructed with no persons or obstacles visible.
Sensor note: Consistent — YOLO-World detected a wall at 2.09m depth, which aligns with the visually dominant wall surface; no discrepancies noted.
Proximity: Closest object is the wall, visually estimated at ~2m, consistent with DepthAnything v2 reading of 2.09m.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
gpt4o,wall_close,hazard,3,0.57,38.32,hazard,277.84,2295.2,2611.9,0,yolo-world,disabled,disabled,0.0,safe,0,4,772,69,0.004895,"Description: The image shows a plain wall with no visible obstacles or objects in the immediate vicinity.
Sensor note: Consistent with YOLO detection of a wall at approximately 2.09 meters.
Proximity: Closest object is the wall, visually estimated at around 2 meters.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
gpt4o_mini,wall_close,hazard,3,0.57,38.32,hazard,277.84,3380.4,3697.1,0,yolo-world,disabled,disabled,0.0,safe,0,4,3539,77,0.000577,"Description: The image appears to show a plain, featureless wall with no visible obstacles or persons nearby. The surface is well-lit, indicating a clear environment.  
Sensor note: consistent  
Proximity: The closest object (the wall) is approximately 2.09m away, as indicated by the depth_m value.  
Risk: safe  
Pilot suggested action: ASCEND",
gemini,wall_close,hazard,3,0.57,38.32,hazard,277.84,1846.0,2162.7,0,yolo-world,disabled,disabled,0.0,hazard,1,5,1005,110,0.000108,"Description: The image shows a uniformly light grey surface, likely a wall, filling the entire frame. There are no discernible features or objects.
Sensor note: Consistent. YOLO-World detected a wall, which aligns with the visual evidence.
Proximity: Visually, the wall appears to be very close, filling the entire field of view. The depth_m of 2.09m seems plausible for a wall filling the frame, but it feels closer than 2m.
Risk: hazard
Pilot suggested action: HOVER",
claude,wall_close,hazard,4,0.55,37.87,hazard,279.93,5898.9,6217.2,0,yolo-world,disabled,disabled,0.0,safe,0,4,956,151,0.005133,"Description: The image shows a plain, largely featureless light grey/white wall or ceiling surface with no visible obstacles, persons, or clutter in the flight path at ~1m altitude.
Sensor note: Consistent — YOLO-World detected a wall at 2.09m depth, which aligns with the flat, uniform surface visible in the image; no unexpected objects missed by sensors.
Proximity: Closest surface appears to be the wall at approximately 2m, consistent with the DepthAnything v2 reading of 2.09m; no objects or persons detected visually closer than that.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
gpt4o,wall_close,hazard,4,0.55,37.87,hazard,279.93,2497.8,2816.2,0,yolo-world,disabled,disabled,0.0,safe,0,4,772,67,0.004865,"Description: The image shows a plain wall with no visible obstacles or objects in the immediate vicinity.
Sensor note: Consistent with sensor data indicating a wall at approximately 2.09 meters.
Proximity: Closest object is the wall at about 2.09 meters.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
gpt4o_mini,wall_close,hazard,4,0.55,37.87,hazard,279.93,3059.0,3377.3,0,yolo-world,disabled,disabled,0.0,safe,0,4,3539,77,0.000577,"Description: The image appears to show a plain, featureless wall with no visible obstacles or persons nearby. The surface is well-lit, indicating a clear environment.  
Sensor note: consistent  
Proximity: The closest object (the wall) is approximately 2.09m away, as indicated by the depth_m value.  
Risk: safe  
Pilot suggested action: ASCEND",
gemini,wall_close,hazard,4,0.55,37.87,hazard,279.93,1643.8,1962.2,0,yolo-world,disabled,disabled,0.0,hazard,1,5,1005,110,0.000108,"Description: The image shows a uniformly light grey surface, likely a wall, filling the entire frame. There are no discernible features or objects.
Sensor note: Consistent. YOLO-World detected a wall, which aligns with the visual evidence.
Proximity: Visually, the wall appears to be very close, filling the entire field of view. The depth_m of 2.09m seems plausible for a wall filling the frame, but it feels closer than 2m.
Risk: hazard
Pilot suggested action: HOVER",
claude,wall_close,hazard,5,0.5,39.0,hazard,280.8,6555.5,6875.8,0,yolo-world,disabled,disabled,0.0,hazard,1,5,956,146,0.005058,"Description: The image shows a plain, featureless light-colored wall/ceiling area with no obstacles, people, or objects visible in the flight path at approximately 1m altitude. The scene is very open and uniformly lit with adequate brightness.

Sensor note: Consistent — YOLO-World detected a wall at 2.09m depth, which aligns with the visible plain wall surface in the image. No discrepancies noted.

Proximity: Closest object is the wall, visually consistent with the sensor-reported ~2.09m distance — well outside the immediate hazard zone.

Risk: safe

Pilot suggested action: PITCH_FORWARD",
gpt4o,wall_close,hazard,5,0.5,39.0,hazard,280.8,2233.6,2553.9,0,yolo-world,disabled,disabled,0.0,safe,0,4,772,65,0.004835,"Description: The image shows a blank wall with no visible obstacles or objects.
Sensor note: Consistent with YOLO detection of a wall at approximately 2.09 meters.
Proximity: Closest object is the wall, visually estimated at around 2 meters.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
gpt4o_mini,wall_close,hazard,5,0.5,39.0,hazard,280.8,3278.6,3598.9,0,yolo-world,disabled,disabled,0.0,safe,0,4,3539,74,0.000575,"Description: The image appears to show a blank, featureless wall with no visible obstacles or persons nearby. The surface is uniformly lit, indicating a well-lit environment.  
Sensor note: consistent  
Proximity: The closest object (the wall) is approximately 2.09m away based on depth_m.  
Risk: safe  
Pilot suggested action: ASCEND",
gemini,wall_close,hazard,5,0.5,39.0,hazard,280.8,2051.0,2371.3,0,yolo-world,disabled,disabled,0.0,hazard,1,5,1005,141,0.000118,"Description: The image shows a uniformly light grey surface, likely a wall, filling the entire frame. There are no discernible features or objects.
Sensor note: Consistent. YOLO-World detected a wall, which aligns with the visual evidence.
Proximity: Visually, the wall appears to be very close, filling the entire field of view. The depth_m of 2.09m seems inconsistent with the visual evidence of the wall filling the frame, suggesting it might be closer than reported or the drone is facing a very large, close wall. Given the lack of other features, I estimate it to be within 1m.
Risk: hazard
Pilot suggested action: HOVER",
claude,object_table,caution,1,0.44,39.78,safe,278.19,60575.3,60893.7,0,yolo-world,disabled,disabled,0.0,,0,0,0,0,0.0,,The read operation timed out
gpt4o,object_table,caution,1,0.44,39.78,safe,278.19,2440.2,2758.6,0,yolo-world,disabled,disabled,0.0,safe,0,4,772,83,0.005105,"Description: The image shows a laptop on a table in a room with shelves and other furniture in the background. The area appears clear at the ~1m flight path level.
Sensor note: Consistent with YOLO detection of a shelf at 2.53m depth.
Proximity: Closest object is the laptop, approximately 1m away.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
gpt4o_mini,object_table,caution,1,0.44,39.78,safe,278.19,4758.4,5076.8,0,yolo-world,disabled,disabled,0.0,caution,1,5,3539,111,0.000597,"Description: The image shows a laptop on a table with a cluttered background, including shelves and other objects. The scene appears well-lit, but there are several items in the vicinity that could pose a risk to flight. 

Sensor note: Consistent with YOLO detection of a shelf, but the clutter is not fully accounted for by the sensors. 

Proximity: The closest object appears to be the edge of the table, approximately 0.5m away based on visual estimation. 

Risk: Caution  
Pilot suggested action: HOVER",
gemini,object_table,caution,1,0.44,39.78,safe,278.19,2497.7,2816.1,0,yolo-world,disabled,disabled,0.0,hazard,0,4,1008,110,0.000109,"Description: The drone is facing a laptop on a table, which is a significant obstacle directly in the flight path. The background shows what appears to be shelves or furniture.
Sensor note: YOLO detected a ""shelf"" at 2.53m, which is inconsistent with the prominent laptop directly in front of the drone. The local detector's brightness reading is consistent with the image.
Proximity: The laptop is very close, visually estimated to be well within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",
claude,object_table,caution,2,0.58,34.77,safe,282.28,8247.3,8564.9,0,yolo-world,disabled,disabled,0.0,hazard,0,3,956,254,0.006678,"Description: The image shows an indoor environment with a laptop on a table displaying code/IDE, with shelving units visible in the background; the scene is moderately lit but somewhat dim due to low ambient lighting.
Sensor note: YOLO-World detected a shelf at 2.53m with low confidence (0.19); the laptop on the table is clearly visible but undetected by sensors — it exists and is a real obstacle at table level. No persons detected or visually confirmed.
Proximity: The laptop/table appears to be the closest object, visually estimated at approximately 1.5–2m forward; shelving units are visible further back (~2.5m consistent with depth_m reading).
Risk: caution
Pilot suggested action: HOVER

**Reasoning:** The scene is navigable at ~1m altitude since the table/laptop obstacle is at table height (below the ~1m flight corridor), but the dim lighting and cluttered shelving environment warrant caution rather than free forward flight. No immediate hazard blocks the 1m corridor directly, but limited visibility and undetected objects (laptop) justify holding position until the path is better assessed.",
gpt4o,object_table,caution,2,0.58,34.77,safe,282.28,2833.2,3150.8,0,yolo-world,disabled,disabled,0.0,caution,1,5,772,93,0.005255,"Description: The image shows a laptop on a table in a room with shelves and other furniture in the background. The scene appears well-lit and there is no immediate obstruction in the flight path at ~1m altitude.
Sensor note: Consistent with sensor data; the shelf detection aligns with the background.
Proximity: Closest object is the laptop on the table, visually estimated at ~1m away.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,object_table,caution,2,0.58,34.77,safe,282.28,4741.0,5058.6,0,yolo-world,disabled,disabled,0.0,caution,1,5,3539,127,0.000607,"Description: The image shows a laptop on a table with a cluttered background, including shelves and other objects. The scene appears well-lit, but there are various items that could pose a risk if the drone were to navigate close to the table. 

Sensor note: The YOLO detection indicates a shelf at a distance of 2.53m, which is consistent with the visual analysis, but there may be additional clutter not detected.

Proximity: The closest object appears to be the edge of the table, approximately 0.5m away from the drone's flight path.

Risk: caution

Pilot suggested action: HOVER",
gemini,object_table,caution,2,0.58,34.77,safe,282.28,1949.1,2266.7,0,yolo-world,disabled,disabled,0.0,hazard,0,4,1008,110,0.000109,"Description: The drone is facing a laptop on a table, which is a significant obstacle directly in the flight path. The background shows what appears to be shelves or furniture.
Sensor note: YOLO detected a ""shelf"" at 2.53m, which is inconsistent with the prominent laptop directly in front of the drone. The local detector's brightness reading is consistent with the image.
Proximity: The laptop is very close, visually estimated to be well within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",
claude,object_table,caution,3,0.51,38.7,safe,283.47,7050.2,7372.9,0,yolo-world,disabled,disabled,0.0,hazard,0,4,956,223,0.006213,"Description: The scene shows an indoor environment with a laptop on a desk/table displaying code, with bookshelves or storage units visible in the background at moderate distance. The space appears to be a cluttered indoor room with objects at various heights, but no person is immediately visible in the frame.

Sensor note: YOLO-World detected a shelf at 2.53m with low confidence (0.19); the laptop and desk are not detected by sensors but are clearly visible in the image — these represent undetected obstacles at roughly table height (~0.7–0.9m), below the ~1m flight corridor but worth noting. The desk surface with laptop is the dominant undetected hazard.

Proximity: Closest object is the laptop/desk surface, visually estimated at approximately 1–1.5m from the camera. The shelf/storage units in background appear consistent with the 2.53m depth reading from DepthAnything v2.

Risk: caution

Pilot suggested action: HOVER",
gpt4o,object_table,caution,3,0.51,38.7,safe,283.47,2735.7,3058.4,0,yolo-world,disabled,disabled,0.0,caution,1,5,772,90,0.00521,"Description: The image shows a laptop on a table in a room with shelves and other furniture in the background. The area appears to be clear at the ~1m flight path level.
Sensor note: Consistent with YOLO detection of a shelf at 2.53m depth.
Proximity: Closest object is the laptop on the table, visually estimated at ~1m away.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,object_table,caution,3,0.51,38.7,safe,283.47,4737.8,5060.5,0,yolo-world,disabled,disabled,0.0,caution,1,5,3539,113,0.000599,"Description: The image shows a laptop on a table with a cluttered background, including shelves and other objects. The scene appears well-lit, but there are several items in the vicinity that could pose a risk to flight. 

Sensor note: Consistent; the YOLO detection indicates a shelf at a distance of 2.53m, which aligns with the visual assessment of the environment.

Proximity: The closest object appears to be the laptop itself, which is approximately 0.5m away.

Risk: Caution

Pilot suggested action: HOVER",
gemini,object_table,caution,3,0.51,38.7,safe,283.47,2153.0,2475.7,0,yolo-world,disabled,disabled,0.0,hazard,0,4,1008,110,0.000109,"Description: The drone is facing a laptop on a table, which is a significant obstacle directly in the flight path. The background shows what appears to be shelves or furniture.
Sensor note: YOLO detected a ""shelf"" at 2.53m, which is inconsistent with the prominent laptop directly in front of the drone. The local detector's brightness reading is consistent with the image.
Proximity: The laptop is very close, visually estimated to be well within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",
claude,object_table,caution,4,0.56,37.92,safe,279.07,7783.8,8101.4,0,yolo-world,disabled,disabled,0.0,hazard,0,3,956,241,0.006483,"Description: The image shows an indoor environment with a laptop on a table displaying code/IDE, with bookshelves or storage units visible in the background; the scene is moderately lit but somewhat dim with clutter at table level.
Sensor note: YOLO-World detected a shelf at 2.53m with low confidence (0.19); the laptop and table are prominent in the foreground but were not detected — these are real obstacles the sensors missed.
Proximity: The table surface with the laptop appears to be within approximately 0.5–1m of the drone's camera, representing a close obstacle not flagged by Tier 2 sensors.
Risk: hazard
Pilot suggested action: HOVER

**Reasoning:** The undetected laptop and table are directly in the camera's field of view at very close range (~0.5–1m), blocking the forward flight path at ~1m altitude. The drone must not pitch forward. HOVER immediately while the situation is reassessed; consider ASCEND to clear the table obstacle or PITCH_BACK to retreat from the clutter zone.",
