condition,model,scene_label,truth,run,yolo_type,yolo_meta,clip_label,clip_risk,clip_conf,detected_risk,risk_correct,quality_score,s1_scene,s2_proximity,s3_risk,s4_length,s5_pilot_action,word_count,latency_ms,input_tokens,output_tokens,cost_usd,reply,error
llm_only,claude,person_near,hazard,3,,,,,0.0,hazard,1,5,1,1,1,1,1,61,5020.5,529,95,0.003012,"Description: A person is standing/leaning forward in what appears to be an indoor workshop or storage room, positioned centrally in the frame and appearing to be quite close to the camera/drone.
Proximity: The person appears to be approximately 1–1.5m from the drone, occupying a large portion of the frame and directly in the flight path.
Risk: hazard
Pilot suggested action: PITCH_BACK",
llm_only,gpt4o,person_near,hazard,3,,,,,0.0,hazard,1,5,1,1,1,1,1,46,2824.4,433,60,0.003065,"Description: The image shows a person standing in an indoor space with some furniture and equipment in the background. The person appears to be leaning forward.
Proximity: The person is very close, likely less than 1 meter from the drone.
Risk: hazard
Pilot suggested action: PITCH_BACK",
llm_only,gpt4o_mini,person_near,hazard,3,,,,,0.0,hazard,1,5,1,1,1,1,1,43,2293.2,3200,56,0.000514,"Description: The image shows a person bending forward in a dimly lit indoor space with some clutter in the background, including furniture and a chair. 
Proximity: The person appears to be within 1 meter of the drone.
Risk: hazard
Pilot suggested action: LAND",
llm_only,gemini,person_near,hazard,3,,,,,0.0,hazard,1,5,1,1,1,1,1,43,2052.0,639,60,6.6e-05,"Description: A person is directly in front of the drone, bending over. The background appears to be an indoor room with various objects.
Proximity: The person is very close, likely less than 1 meter from the drone.
Risk: hazard
Pilot suggested action: PITCH_BACK",
llm_only,claude,person_near,hazard,4,,,,,0.0,hazard,1,5,1,1,1,1,1,56,3789.3,529,87,0.002892,"Description: A person is standing/leaning forward in what appears to be an indoor workshop or storage area, positioned centrally in the frame and taking up a large portion of the image.
Proximity: The person appears to be approximately 1–1.5m from the drone, very close and directly in the flight path.
Risk: hazard
Pilot suggested action: PITCH_BACK",
llm_only,gpt4o,person_near,hazard,4,,,,,0.0,hazard,1,5,1,1,1,1,1,46,2762.2,433,60,0.003065,"Description: The image shows a person standing in an indoor space with some furniture and equipment in the background. The person appears to be leaning forward.
Proximity: The person is very close, likely less than 1 meter from the drone.
Risk: hazard
Pilot suggested action: PITCH_BACK",
llm_only,gpt4o_mini,person_near,hazard,4,,,,,0.0,hazard,1,5,1,1,1,1,1,43,2048.0,3200,56,0.000514,"Description: The image shows a person bending forward in a dimly lit indoor space with some clutter in the background, including furniture and a chair. 
Proximity: The person appears to be within 1 meter of the drone.
Risk: hazard
Pilot suggested action: LAND",
llm_only,gemini,person_near,hazard,4,,,,,0.0,hazard,1,5,1,1,1,1,1,43,1847.5,639,60,6.6e-05,"Description: A person is directly in front of the drone, bending over. The background appears to be an indoor room with various objects.
Proximity: The person is very close, likely less than 1 meter from the drone.
Risk: hazard
Pilot suggested action: PITCH_BACK",
llm_only,claude,person_near,hazard,5,,,,,0.0,hazard,1,5,1,1,1,1,1,64,4812.3,529,94,0.002997,"Description: A person is leaning forward in an aggressive or dynamic pose, appearing to be directly in front of the drone in what looks like an indoor workshop or storage area with cluttered surroundings.
Proximity: The person appears to be very close, estimated within 1–2 meters directly in the flight path, filling a large portion of the frame.
Risk: hazard
Pilot suggested action: PITCH_BACK",
llm_only,gpt4o,person_near,hazard,5,,,,,0.0,hazard,1,5,1,1,1,1,1,42,2762.2,433,57,0.00302,"Description: The image shows a person standing indoors, bending slightly forward. There is a chair and some furniture in the background.
Proximity: The person appears to be very close, likely within 1 meter of the drone.
Risk: hazard
Pilot suggested action: PITCH_BACK",
llm_only,gpt4o_mini,person_near,hazard,5,,,,,0.0,hazard,1,5,1,1,1,1,1,38,2254.4,3200,50,0.00051,"Description: The image shows a person bending forward in a dimly lit indoor space with some clutter in the background. 
Proximity: The person appears to be within 1 meter of the drone.
Risk: hazard
Pilot suggested action: LAND",
llm_only,gemini,person_near,hazard,5,,,,,0.0,hazard,1,5,1,1,1,1,1,43,1845.7,639,60,6.6e-05,"Description: A person is directly in front of the drone, bending over. The background appears to be an indoor space with some clutter.
Proximity: The person is very close, likely less than 1 meter from the drone.
Risk: hazard
Pilot suggested action: PITCH_BACK",
combined_enhanced,claude,person_near,hazard,1,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.2057,hazard,1,5,1,1,1,1,1,101,4915.6,936,144,0.004968,"Description: A person is leaning forward/crouching in the center of the frame, appearing to be quite close to the camera and occupying a large portion of the image; a white chair is visible to the left at floor level. The YOLO estimated distance of ~0.31m for the person is consistent with the visual evidence — the person appears large in frame and is directly in the flight path at drone altitude.

Proximity: The person visually appears very close, likely within 0.5–1m based on their large size in frame and body posture facing the drone directly.

Risk: hazard

Pilot suggested action: PITCH_BACK",
combined_enhanced,gpt4o,person_near,hazard,1,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.2057,hazard,1,5,1,1,1,1,1,44,3069.4,802,58,0.00488,"Description: The image shows a cluttered room with a person bending forward and a chair nearby. The person appears to be close to the camera.
Proximity: The person is visually estimated to be less than 1 meter away.
Risk: Hazard
Pilot suggested action: PITCH_BACK",
combined_enhanced,gpt4o_mini,person_near,hazard,1,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.2057,caution,0,4,1,1,0,1,1,73,2528.1,3569,102,0.000597,"Description: The image shows a cluttered room with a person in the foreground and a chair in the background. The YOLO detection for the person indicates a proximity of 0.41m, but visually, the person appears to be further away, likely more than 3m. The scene is dimly lit, contributing to a cluttered environment. 

Proximity: The person appears to be more than 3m away based on visual assessment.

Risk: caution

Pilot suggested action: HOVER",
combined_enhanced,gemini,person_near,hazard,1,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.2057,hazard,1,5,1,1,1,1,1,61,1761.1,1019,94,0.000105,"Description: A person is directly in front of the drone, bending over. A chair is visible to the left, further back. The CLIP label ""cluttered room obstacles"" is consistent with the background. YOLO's est_dist for the person (~0.31m) seems accurate given their size in the frame.
Proximity: Person is very close, less than 1 meter.
Risk: hazard
Pilot suggested action: PITCH_BACK",
combined_enhanced,claude,person_near,hazard,2,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.2057,hazard,1,5,1,1,1,1,1,105,4880.4,936,159,0.005193,"Description: A person is crouched/leaning forward in what appears to be a cluttered indoor workspace, filling much of the frame and appearing very close to the camera/drone; a white plastic chair is visible to the left at floor level. The YOLO estimate of ~0.31m for the person aligns with the visual — the person appears large in frame and genuinely close, likely within 1m of the drone.

Proximity: The person visually occupies the majority of the frame and appears to be approximately 0.5–1m from the drone, consistent with the YOLO advisory distance. This is a direct flight path obstruction.

Risk: hazard

Pilot suggested action: PITCH_BACK",
combined_enhanced,gpt4o,person_near,hazard,2,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.2057,hazard,1,5,1,1,1,1,1,43,2817.3,802,58,0.00488,"Description: The image shows a cluttered room with a person bending forward and a chair in the background. The person appears to be close to the camera.
Proximity: The person is visually close, likely within 1 meter.
Risk: Hazard
Pilot suggested action: PITCH_BACK",
combined_enhanced,gpt4o_mini,person_near,hazard,2,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.2057,caution,0,4,1,1,0,1,1,78,2661.5,3569,103,0.000597,"Description: The image shows a cluttered room with a person in the foreground and a chair in the background. The YOLO detection for the person suggests they are closer than they appear, as they seem to be more than 3m away visually. The scene is dimly lit, contributing to a cluttered appearance.  
Proximity: The person appears to be more than 3m away, while the chair is also not blocking the flight path.  
Risk: caution  
Pilot suggested action: HOVER",
combined_enhanced,gemini,person_near,hazard,2,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.2057,hazard,1,5,1,1,1,1,1,62,1953.4,1019,93,0.000104,"Description: A person is directly in front of the drone, bending over. A chair is visible to the left, further back. The CLIP label ""cluttered room obstacles"" is consistent with the background. YOLO's distance estimate for the person (~0.31m) appears accurate given their size in the frame.
Proximity: Person is very close, less than 1 meter.
Risk: hazard
Pilot suggested action: PITCH_BACK",
combined_enhanced,claude,person_near,hazard,3,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.2057,hazard,1,5,1,1,1,1,1,96,4198.2,936,140,0.004908,"Description: A person is crouching/leaning forward in what appears to be a cluttered indoor workspace, occupying the center of the frame at approximately drone flight altitude (~1m); the person's large size in the frame confirms they are very close to the drone. A chair is visible to the left but is not in the direct flight path.

Proximity: The person visually fills a large portion of the frame, consistent with being well within 1m of the drone — the YOLO estimate of ~0.31m is plausible and supported by the image.

Risk: hazard

Pilot suggested action: PITCH_BACK",
combined_enhanced,gpt4o,person_near,hazard,3,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.2057,hazard,1,5,1,1,1,1,1,43,2556.2,802,58,0.00488,"Description: The image shows a cluttered room with a person bending forward and a chair in the background. The person appears to be close to the camera.
Proximity: The person is visually close, likely within 1 meter.
Risk: Hazard
Pilot suggested action: PITCH_BACK",
combined_enhanced,gpt4o_mini,person_near,hazard,3,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.2057,caution,0,4,1,1,0,1,1,76,2559.7,3569,106,0.000599,"Description: The image shows a cluttered room with a person in the foreground and a chair in the background. The YOLO detection for the person indicates a proximity of <1m, but visually, the person appears to be further away, likely more than 3m. The scene is dimly lit, contributing to a cluttered appearance. 

Proximity: The person appears to be more than 3m away based on visual assessment, despite YOLO's estimate.

Risk: caution

Pilot suggested action: HOVER",
combined_enhanced,gemini,person_near,hazard,3,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.2057,hazard,1,5,1,1,1,1,1,62,2053.0,1019,93,0.000104,"Description: A person is directly in front of the drone, bending over. A chair is visible to the left, further back. The CLIP label ""cluttered room obstacles"" is consistent with the background. YOLO's distance estimate for the person (~0.31m) appears accurate given their size in the frame.
Proximity: Person is very close, less than 1 meter.
Risk: hazard
Pilot suggested action: PITCH_BACK",
combined_enhanced,claude,person_near,hazard,4,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.2057,hazard,1,5,1,1,1,1,1,105,5121.9,936,158,0.005178,"Description: A person is leaning/crouching forward in a cluttered indoor room, appearing to be relatively close to the camera and occupying a large portion of the frame; a white chair is visible to the left at floor level. The YOLO est_dist of ~0.31m for the person seems plausible given how large they appear in frame, filling most of the central image area.

Proximity: The person visually appears to be approximately 0.5–1m away, directly ahead in the flight path at drone altitude (~1m). This is consistent with the YOLO estimate and confirms they are very close and blocking the corridor.

Risk: hazard

Pilot suggested action: PITCH_BACK",
combined_enhanced,gpt4o,person_near,hazard,4,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.2057,hazard,1,5,1,1,1,1,1,51,2555.7,802,66,0.005,"Description: The image shows a cluttered room with a person bending forward in the foreground and a chair in the background. The room appears to have various objects and furniture.
Proximity: The person is very close to the drone, likely less than 1 meter away.
Risk: Hazard
Pilot suggested action: PITCH_BACK",
combined_enhanced,gpt4o_mini,person_near,hazard,4,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.2057,caution,0,4,1,1,0,1,1,67,2354.4,3569,95,0.000592,"Description: The image shows a cluttered room with a person in the foreground and a chair in the background. The YOLO detection for the person indicates a proximity of <1m, but visually, the person appears to be further away, likely more than 3m. The scene is dimly lit, contributing to a cluttered environment.  
Proximity: Estimated to be >3m from the drone.  
Risk: caution  
Pilot suggested action: HOVER",
combined_enhanced,gemini,person_near,hazard,4,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.2057,hazard,1,5,1,1,1,1,1,61,1744.6,1019,94,0.000105,"Description: A person is directly in front of the drone, bending over. A chair is visible to the left, further back. The CLIP label ""cluttered room obstacles"" is consistent with the background. YOLO's est_dist for the person (~0.31m) seems accurate given their size in the frame.
Proximity: Person is very close, less than 1 meter.
Risk: hazard
Pilot suggested action: PITCH_BACK",
combined_enhanced,claude,person_near,hazard,5,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.2057,hazard,1,5,1,1,1,1,1,83,4506.6,936,132,0.004788,"Description: A person is crouching/leaning forward in what appears to be a cluttered indoor workspace, occupying a large portion of the frame and clearly very close to the drone at approximately 1m flight altitude. The YOLO estimate of ~0.31m is plausible given the person fills most of the frame.

Proximity: The person visually dominates the frame and appears to be within 0.5–1m of the drone, directly in the flight path — consistent with the YOLO advisory distance.

Risk: hazard

Pilot suggested action: PITCH_BACK",
combined_enhanced,gpt4o,person_near,hazard,5,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.2057,hazard,1,5,1,1,1,1,1,43,2418.4,802,58,0.00488,"Description: The image shows a cluttered room with a person bending forward and a chair in the background. The person appears to be close to the camera.
Proximity: The person is visually close, likely within 1 meter.
Risk: Hazard
Pilot suggested action: PITCH_BACK",
combined_enhanced,gpt4o_mini,person_near,hazard,5,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.2057,caution,0,4,1,1,0,1,1,73,2466.5,3569,100,0.000595,"Description: The image shows a cluttered room with a person in the foreground and a chair in the background. The YOLO detection for the person indicates a proximity of <1m, but visually, the person appears to be further away, likely more than 3m. The scene is dimly lit, contributing to a cluttered appearance. 

Proximity: The person appears to be more than 3m away based on visual assessment.

Risk: caution

Pilot suggested action: HOVER",
combined_enhanced,gemini,person_near,hazard,5,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",cluttered room obstacles,caution,0.2057,hazard,1,5,1,1,1,1,1,61,2384.9,1019,94,0.000105,"Description: A person is directly in front of the drone, bending over. A chair is visible to the left, further back. The CLIP label ""cluttered room obstacles"" is consistent with the background. YOLO's est_dist for the person (~0.31m) seems accurate given their size in the frame.
Proximity: Person is very close, less than 1 meter.
Risk: hazard
Pilot suggested action: PITCH_BACK",
yolo_enhanced_only,yolo_enhanced,wall_close,hazard,1,yolo-world,"YOLO detections: wall (conf=0.49, est_dist~0.3m [advisory], bbox=[0.4,0.1,319.8,239.6])",person up close,hazard,0.2082,hazard,1,1,0,0,1,0,0,0,58.05,0,0,0.0,,
yolo_enhanced_only,yolo_enhanced,wall_close,hazard,2,yolo-world,"YOLO detections: wall (conf=0.49, est_dist~0.3m [advisory], bbox=[0.4,0.1,319.8,239.6])",person up close,hazard,0.2082,hazard,1,1,0,0,1,0,0,0,56.56,0,0,0.0,,
yolo_enhanced_only,yolo_enhanced,wall_close,hazard,3,yolo-world,"YOLO detections: wall (conf=0.49, est_dist~0.3m [advisory], bbox=[0.4,0.1,319.8,239.6])",person up close,hazard,0.2082,hazard,1,1,0,0,1,0,0,0,55.18,0,0,0.0,,
yolo_enhanced_only,yolo_enhanced,wall_close,hazard,4,yolo-world,"YOLO detections: wall (conf=0.49, est_dist~0.3m [advisory], bbox=[0.4,0.1,319.8,239.6])",person up close,hazard,0.2082,hazard,1,1,0,0,1,0,0,0,56.58,0,0,0.0,,
yolo_enhanced_only,yolo_enhanced,wall_close,hazard,5,yolo-world,"YOLO detections: wall (conf=0.49, est_dist~0.3m [advisory], bbox=[0.4,0.1,319.8,239.6])",person up close,hazard,0.2082,hazard,1,1,0,0,1,0,0,0,55.65,0,0,0.0,,
llm_only,claude,wall_close,hazard,1,,,,,0.0,caution,0,4,1,1,0,1,1,57,3798.3,529,87,0.002892,"Description: The image shows a plain, light-colored wall or ceiling surface with very little detail — the scene appears nearly featureless and slightly blurry/out of focus.
Proximity: No identifiable objects or persons are visible; the view appears to be a blank wall or the lens may be partially obscured/out of focus.
Risk: caution
Pilot suggested action: HOVER",
llm_only,gpt4o,wall_close,hazard,1,,,,,0.0,hazard,1,5,1,1,1,1,1,31,2390.2,433,42,0.002795,"Description: The image appears to be mostly dark with no discernible objects or features visible.
Proximity: Unable to estimate due to lack of visible objects.
Risk: Hazard
Pilot suggested action: HOVER",
llm_only,gpt4o_mini,wall_close,hazard,1,,,,,0.0,safe,0,4,1,1,0,1,1,40,1905.7,3200,59,0.000515,"Description: The image shows a plain, light-colored wall with no visible objects or people in the vicinity. The scene appears well-lit and unobstructed.  
Proximity: No objects or persons are visible within the flight path.  
Risk: safe  
Pilot suggested action: PITCH_FORWARD",
llm_only,gemini,wall_close,hazard,1,,,,,0.0,caution,0,4,1,1,0,1,1,44,2358.8,639,59,6.6e-05,"Description: The image is mostly a light grey, possibly a wall or ceiling, with a darker strip at the very top. The scene appears dim.
Proximity: Unknown, but the immediate area in front of the drone seems clear.
Risk: caution
Pilot suggested action: HOVER",
llm_only,claude,wall_close,hazard,2,,,,,0.0,hazard,1,5,1,1,1,1,1,58,3794.6,529,89,0.002922,"Description: The image shows a plain, nearly featureless light gray/white wall or surface filling the entire frame, with very little detail or contrast visible.
Proximity: The wall appears to be relatively close, potentially within 1-2 meters, as it fills the entire field of view with no depth perspective or room features visible.
Risk: hazard
Pilot suggested action: PITCH_BACK",
llm_only,gpt4o,wall_close,hazard,2,,,,,0.0,hazard,1,5,1,1,1,1,1,31,2244.9,433,42,0.002795,"Description: The image appears to be mostly dark with no discernible objects or features visible.
Proximity: Unable to estimate due to lack of visible objects.
Risk: Hazard
Pilot suggested action: HOVER",
llm_only,gpt4o_mini,wall_close,hazard,2,,,,,0.0,safe,0,4,1,1,0,1,1,40,2056.8,3200,59,0.000515,"Description: The image shows a plain, light-colored wall with no visible objects or people in the vicinity. The scene appears well-lit and unobstructed.  
Proximity: No objects or persons are visible within the flight path.  
Risk: safe  
Pilot suggested action: PITCH_FORWARD",
llm_only,gemini,wall_close,hazard,2,,,,,0.0,caution,0,4,1,1,0,1,1,44,1832.2,639,59,6.6e-05,"Description: The image is mostly a light grey, possibly a wall or ceiling, with a darker strip at the very top. The scene appears dim.
Proximity: Unknown, but the immediate area in front of the drone appears clear.
Risk: caution
Pilot suggested action: HOVER",
llm_only,claude,wall_close,hazard,3,,,,,0.0,caution,0,4,1,1,0,1,1,53,4516.3,529,78,0.002757,"Description: The image shows a nearly blank, pale gray-white wall or surface with very little detail or contrast; the scene appears dim and somewhat washed out with no clear features visible.
Proximity: No objects or persons are identifiable in the frame; the scene is indistinct and unclear.
Risk: caution
Pilot suggested action: HOVER",
llm_only,gpt4o,wall_close,hazard,3,,,,,0.0,hazard,1,5,1,1,1,1,1,31,2250.1,433,42,0.002795,"Description: The image appears to be mostly dark with no discernible objects or features visible.
Proximity: Unable to estimate due to lack of visible objects.
Risk: Hazard
Pilot suggested action: HOVER",
llm_only,gpt4o_mini,wall_close,hazard,3,,,,,0.0,safe,0,4,1,1,0,1,1,40,1947.4,3200,59,0.000515,"Description: The image shows a plain, light-colored wall with no visible objects or people in the vicinity. The scene appears well-lit and unobstructed.  
Proximity: No objects or persons are visible within the flight path.  
Risk: safe  
Pilot suggested action: PITCH_FORWARD",
llm_only,gemini,wall_close,hazard,3,,,,,0.0,caution,0,4,1,1,0,1,1,44,2051.1,639,59,6.6e-05,"Description: The image is mostly a light grey, possibly a wall or ceiling, with a darker strip at the very top. The scene appears dim.
Proximity: Unknown, but the immediate area in front of the drone appears clear.
Risk: caution
Pilot suggested action: HOVER",
llm_only,claude,wall_close,hazard,4,,,,,0.0,hazard,1,5,1,1,1,1,1,59,3860.9,529,95,0.003012,"Description: The image shows a plain, nearly featureless light gray/white wall or surface with very poor image quality and low contrast, making it difficult to distinguish any details or depth.
Proximity: The wall or surface appears to be relatively close, potentially within 1-2 meters, though the blurry, low-quality image makes precise estimation difficult.
Risk: hazard
Pilot suggested action: PITCH_BACK",
